date,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,MIB SECURITIES (HONG KONG) LTD,CMB WING LUNG BANK LTD,BANK OF CHINA (HONG KONG) LTD,LONG BRIDGE HK LTD,THE HONGKONG AND SHANGHAI BANKING,KGI ASIA LTD
2024-07-29,5.997171370385733,1.1711966348386054,49.80099014304693,14.799808341702217,4.584160318760112,5.488977038287099,10.656215496354797,2.3359472695564834,5.048049836480572,0.11748355058744998
2024-07-30,6.036952360058533,1.175353369964642,49.88916683308393,14.826012602079466,4.352727743645025,5.498695717083143,10.6750831897097,2.371328801715106,5.056987817923192,0.11769156473726587
2024-07-31,0.6312812195029721,0.11941000049350531,5.0328109577466895,1.4956457166960386,0.5542571987182984,0.5652143402154085,1.0952875728504758,0.16378029808119318,0.507206191273513,0.01187270572438724
2024-08-01,5.823683861121626,1.1540852592745838,49.01795826576837,14.635548922738264,5.945943900784323,5.526757515572851,11.004205517528947,1.6725754118377667,5.103061715709104,0.11617962966416746
2024-08-02,5.767931351092136,1.1667448151694821,48.85511948051048,14.629145574479013,6.2177342793357,5.277252899178962,11.194027479919948,1.7819375358952092,4.994303190379407,0.11580339403965875
2024-08-05,5.776677062971587,1.1455442609318156,48.82509764676634,14.632446004410237,6.3286214883947505,5.243284616754966,11.039666884536862,1.8668735617581704,5.026056241481263,0.11573223199400552
2024-08-06,5.807309611455225,1.1492172555856515,48.807102250686455,14.627052944812652,6.408193082586449,5.220876075598245,11.103168913600546,1.7330912875326423,5.028299001410573,0.11568957673156223
2024-08-07,5.819952738826163,1.1513355830638812,48.81010056212411,14.627951511990814,6.443398141427995,5.192528598940394,11.030132761023134,1.6390022244274443,5.1699011944177515,0.11569668375830909
2024-08-08,5.872282798629684,1.1487538936831898,48.70065157075673,14.59515062610203,6.514761594798532,5.325947909930911,10.884343539709466,1.6271544703055443,5.215516343984133,0.11543725209977808
2024-08-09,5.83311447550658,1.138917564993634,48.629611338489994,14.57386050252042,6.527700158310052,5.348781237836202,10.875606964516104,1.7267887631179792,5.230350132331714,0.11526886237732256
2024-08-12,5.8608471369573625,1.1383601809948847,48.60581210309439,14.566728084078742,6.579562791794647,5.346163554900741,10.843775404727571,1.7014737752299718,5.211477142084418,0.14579982613727585
2024-08-13,5.865523490349382,1.1384762576665133,48.610768355943826,14.568213428823535,6.618981659142391,5.3671023575707055,10.761267106434264,1.681253608276352,5.212008547636915,0.17640518815611894
2024-08-14,5.884717044335694,1.1382441279907147,48.60085686080038,14.565243042188394,6.654333190899046,5.347657477272991,10.759072937317624,1.676832907943688,5.196673191240367,0.17636922001110045
2024-08-15,5.845845136165676,1.138615580923709,48.61671719373163,14.580194321958142,6.656504756312912,5.369798783120277,10.709554023908256,1.7181724413258084,5.188170986467781,0.17642677608580534
2024-08-16,5.830812547813061,1.139663919897989,48.66147927172321,14.59361850674568,6.662633491493983,5.374742830472782,10.655923999595048,1.7524182872197651,5.152117930401352,0.17658921463712682
2024-08-19,5.835011577170442,1.140484642947814,48.696522583158796,14.6041280252798,6.687861192201459,5.368398603683149,10.542552191958366,1.7659380660350925,5.182386733122651,0.17671638444242885
2024-08-20,5.83059807740515,1.1404205723985863,48.69378689270766,14.61352183547387,6.687485479172447,5.368097015889629,10.503145793715252,1.8046529935636564,5.181584882866805,0.1767064568069462
2024-08-21,5.829050054265114,1.1401177908636546,48.68085869771202,14.609641947054461,6.697963793535114,5.366671786729903,10.516695664360268,1.8021315515594962,5.18020917265762,0.17665954126234862
2024-08-22,5.831467317557089,1.1397918981938082,48.66694370126292,14.605465909054018,6.702174408516402,5.375346385973575,10.511647836093086,1.8016164280630833,5.188937070603948,0.1766090446820679
2024-08-23,5.861734122323855,1.1397220882877217,48.6639629512026,14.60457135435059,6.769136648421655,5.375017157079265,10.47017205914289,1.783131700690544,5.155953690759027,0.1765982277418503
2024-08-26,5.835518251698632,1.1405836752309093,48.70075107307318,14.615611859855457,6.774253860602471,5.415857012303327,10.373886904238107,1.8069542362278836,5.159851397423913,0.17673172934612386
2024-08-27,5.7317341560316555,1.1410732637714358,48.721655571496406,14.621885521520763,6.783293722641708,5.430445845991513,10.372207776349395,1.8588303198813143,5.162066231959826,0.17680759035598603
2024-08-28,5.725539559797413,1.1406535907274435,48.70373633164456,14.64307023367349,6.780798908666778,5.448881259422141,10.354090136541087,1.8622331976515756,5.164254219228083,0.17674256264742297
2024-08-29,5.9646200353245105,1.1406570867272692,48.832611795785745,14.643115113355979,6.799209147144233,5.336517951204559,10.12272121693083,1.8132003560443861,5.101132915125775,0.24621438235671464
2024-08-30,5.768194867722082,1.1361765555478194,48.70388865864593,14.585596570234568,6.849841054344165,5.392895348074939,10.127734331250144,2.0991536039265934,5.05870781485335,0.2778111954004073
2024-09-02,5.7106887794250705,1.1348600149917396,48.64745320031439,14.568695561913664,6.87849581862276,5.386646349707769,10.148525071278662,2.1190829908238054,5.128062930259585,0.277489282662557
2024-09-03,5.686640926424282,1.1349292305297731,48.65651926424708,14.56958411212113,6.8870473906802925,5.429668145879788,10.124747883578076,2.052122821848192,5.138540755262926,0.32019946942846267
2024-09-04,5.8012667352270615,1.1258847657903643,48.44231692086496,14.562117658388813,6.856728294444582,5.397668672667782,10.134825029613552,2.3183611878405093,5.0116799538610906,0.3491507813012815
