date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,MERRILL LYNCH FAR EAST LTD,CHINA RENAISSANCE BROKING SERVICES (HONG,DBS BANK (HONG KONG) LTD,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD
2024-11-26,67.5695615987133,8.160139595773103,6.127958872415517,5.532846882216878,4.376216909164492,0.03724732415646662,0.0,3.1503062968362756,2.8219236825467764,2.223798838177188
2024-11-27,67.6289224587899,8.217702675526965,6.055257064957942,5.5497520309885715,4.376707656134419,0.004024048573022327,0.0,3.156959897131632,2.7853041917863215,2.2253699761112133
2024-11-28,67.66304055823029,8.206526968341329,5.998724092266269,5.542994477672832,4.4118706573667765,0.006307032624313431,0.0,3.1541678196340177,2.790048961229848,2.226319432634324
2024-11-29,67.65382212508678,8.20120393069196,5.989445047745103,5.543018008927521,4.42421189128213,0.017982571692530033,0.0,3.1538757319127453,2.7903274255219226,2.2261132671393065
2024-12-02,67.65700017120685,8.181993849228675,5.988652685689364,5.539842498664706,4.422272285288134,0.017580772577286796,0.0,3.154023885590071,2.8095169769772568,2.229116874777658
2024-12-03,67.65799904736816,8.216608312376955,5.977869556697906,5.53992428793404,4.389991374892467,0.022144396459594855,0.0,3.1540704510491304,2.8118401383577702,2.229552434863967
2024-12-04,67.60807526230089,8.231688877499852,6.013453890558379,5.53364099122402,4.403111004492398,0.023459924339914024,0.0,3.1504931529746036,2.8090531857412233,2.2270237108687114
2024-12-05,67.7542682670644,7.712397014255282,6.0215029507044475,5.549571770508868,4.616888171712763,0.12154781160981278,0.0,3.1562291592725944,2.8074521198472087,2.260142735024618
2024-12-06,67.62684351971474,7.671007985012477,5.950570695493754,5.533414221675406,4.849946419992695,0.1414287191707974,0.0,3.1503182512827044,2.8200239643919276,2.2564462232654927
2024-12-09,67.59935336851667,7.72170794717065,6.012792604473762,5.533909071868848,4.819717322875188,0.06098524190922981,0.0,3.14930073200278,2.813561420363079,2.288672290819796
2024-12-10,67.58996859550757,7.654600670475474,6.0486505700769895,5.538185068082408,4.839074743513262,0.06861851318667053,0.0,3.149524485993539,2.8232000926003478,2.288177260563734
2024-12-11,67.4828512932359,7.662302873328144,6.132889927413529,5.530528880506237,4.818750793254605,0.07226936399985875,0.0,3.1445590200069207,2.8411778536668333,2.3146699945879683
2024-12-12,67.41040522826151,7.687612400844425,6.156584277110604,5.545572510646965,4.879934269062654,0.05227804771812479,0.0,3.1420918406633565,2.839802543518022,2.285718882174335
