date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,ZHESHANG INTERNATIONAL FINANCIAL,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BNP PARIBAS,UBS SECURITIES HONG KONG LTD,HANG SENG BANK LTD
2024-08-05,39.578863036357745,31.696366661341507,0.0,4.3951991045763386,1.2280128417007687,1.8992662430360698,0.7940158927349777,1.3987038110374437,0.0
2024-08-06,39.59614694396179,31.731588889764705,3.872045847273095,4.433656910825665,1.2276085397685101,1.898659790137682,0.794017813169156,1.4168225515938666,0.0
2024-08-07,39.703893408908684,31.713744569144804,3.873157677586806,4.387107557317341,1.2284171436330271,0.0,0.7903032891665311,1.4035920740871566,0.0
2024-08-08,39.79182907917491,31.737281359895427,0.0,4.2721173157256604,1.2306408042604489,1.8922920347046106,0.7924011613552788,1.3988084747001572,0.0
2024-08-09,39.83893025428303,31.714989869633904,0.0,4.252833377000469,1.2302365023281903,1.8921909592215462,0.7855280285068844,1.4008310456540218,0.0
2024-08-12,39.90351748796132,39.2764144135438,0.0,4.155144983911082,1.2332687668201292,1.8867328831360566,0.6897387932065409,1.3921385541104643,0.0
2024-08-13,39.94414983215329,39.2923372386929,3.872045847273095,4.145611443272944,1.231651559091095,1.884711373474764,0.6876147930054209,1.3701040988023763,0.0
2024-08-14,39.964870306181545,39.28412182342941,3.8680028279505105,4.149890827612675,1.2310451061927072,1.8840038450933116,0.6849969379940472,1.3772804580999645,0.4302028785579941
2024-08-15,39.918699025517626,39.26944121596717,3.8676996015013168,4.177938869861177,1.2285182191160917,1.8834984676779885,0.7812087193513425,1.3890770788039197,0.0
2024-08-16,39.91182589266923,39.29264592321818,0.0,4.175290641667142,1.2253848791410884,1.8579263704626388,0.8141593268304097,1.401913665153127,0.0
2024-08-19,39.97610989989833,39.27836698972564,3.8424307307351606,4.239080339246315,0.0,1.8429671989690743,0.7859383444303853,1.4030254954668377,0.0
2024-08-20,40.03079173623629,39.32917035762745,0.0,4.2124916753600425,1.2212711069803583,1.8497392563344044,0.7908405053590195,0.0,0.0
2024-08-21,40.049996078018566,39.263088520781075,0.0,4.2859735515480235,1.2201592766666474,1.847697531576499,0.8003416007670942,1.3940297774740864,0.0
2024-08-22,40.08759615771861,39.232748288727635,0.0,4.307847094687073,1.2200582011835828,0.0,0.7939108753080737,1.3953437587539264,0.0
2024-08-23,26.408977957008865,39.20420128735699,0.0,4.308463149756352,1.216520559276321,1.8457447532436906,0.7977517436645293,1.3966577400337667,0.0
2024-08-26,40.10235317824604,39.17642089298764,0.0,4.309170678137804,1.2059076335545356,1.8699017936961355,0.7996721778427572,1.397567419381348,0.4281813688967016
2024-08-27,40.08436174226054,39.154463659348615,0.0,4.369904661712967,1.2054022561392124,1.8701039446622647,0.7983779568198562,1.4015093632208686,0.0
2024-08-28,40.26599438532767,39.04571270625103,3.90034698253119,4.218014692443401,1.2136904457505115,1.8704071711114587,0.787178793296296,1.3983780447555265,0.0
2024-08-29,40.4093194203133,38.9285914902499,3.9372395338497777,4.180099964764581,1.2207657295650352,1.8650501705090332,0.7772380195368902,1.3944361009160062,0.0
2024-08-30,40.73185128677252,38.60952231822725,4.011732164868405,4.140752037273646,1.2241012205061677,1.8655555479243566,0.7763299573970377,1.3565327947667725,0.0
2024-09-02,40.92692696908724,38.306033477079346,4.209334734259744,4.092914527271406,1.2269255727294426,0.0,0.7599759442371815,1.361765674675994,0.0
2024-09-03,41.2107469255327,37.96094282624365,0.0,4.139335666529462,1.2231857798560515,1.8464522816251427,0.7691456131362873,1.36162240017875,0.0
2024-09-04,41.22974911634885,37.9649615874503,4.265330551877545,4.090100181520954,1.2287449314246057,1.8462501306590133,0.763151735915072,1.3733471562142463,0.0
2024-09-05,41.30029980352796,37.892774943040045,4.403197510777692,3.969653228362805,1.2304632146367043,1.8651512459920983,0.7410462245423897,1.391035416288297,0.0
2024-09-09,41.42664415735874,37.6610695056627,4.404814718506725,3.8872465386334425,1.2414804422907484,1.8593899434574144,0.821268673082726,1.3656503087166167,0.0
2024-09-10,41.54662075575645,37.64857268454982,4.45454385617452,3.8813693530574254,1.2543170286399554,1.8460479796928844,0.7476108750164708,1.3566545907238654,0.0
2024-09-11,41.64971774848236,37.493896064212166,4.47728583986406,3.8969349774493773,1.2637170485649654,1.847766262904983,0.7384091651892337,1.338966381187556,0.0
