date,ABCI SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,SHANGHAI COMMERCIAL BANK LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,BOCI SECURITIES LTD,CITIBANK N.A.,PHILLIP SECURITIES (HONG KONG) LTD,CITIC SECURITIES BROKERAGE (HK) LTD,TOTAL_CCASS_PCT
2024-08-23,28.30682725969151,9.892955719616573,7.161333986618235,3.9451809047261004,3.1913138850484066,4.231261135297446,2.4375991301682705,1.7466670781502613,2.0253221559383774,1.8329476051289966,64.77140886038417
2024-08-26,28.30682725969151,9.88173620821757,7.158849666237026,3.9451809047261004,3.186665801754533,4.231261135297446,2.4375991301682705,1.73384477940854,2.025161877204106,1.8329476051289966,64.7400743678341
2024-08-27,28.30682725969151,9.88774666075275,7.166863602950602,3.9451809047261004,3.177369635166785,4.231661832133125,2.435595645989877,1.7319214345972822,2.025161877204106,1.8329476051289966,64.74127645834113
2024-08-28,28.30682725969151,9.885582897840084,7.162616216492407,3.9451809047261004,3.183460227069103,4.225250682762264,2.435595645989877,1.7319214345972822,2.025161877204106,1.8329476051289966,64.73454475150173
2024-08-29,28.30682725969151,9.851283248705982,7.111327021525524,3.9391704521909188,3.1534079643931943,4.234546849350012,2.426780315604944,1.692653144700762,2.025161877204106,1.830142727279245,64.5713008606462
2024-08-30,28.30682725969151,9.869074188210119,7.087285211384797,3.9411739363693123,3.152446291987565,4.232863922640161,2.426780315604944,1.6925730053336263,2.025161877204106,1.830142727279245,64.56432873570539
2024-09-02,28.30682725969151,9.868032376437354,7.086083120877761,3.9439788142190646,3.1543696367988234,4.232463225804482,2.426780315604944,1.6925730053336263,2.025161877204106,1.830142727279245,64.56641235925092
2024-09-03,28.30682725969151,9.850241436933215,7.08175559505243,3.94934815181716,3.131529917165133,4.2314214140317175,2.426780315604944,1.6921723084979474,2.0291688455608936,1.830142727279245,64.5293879716342
2024-09-04,28.30682725969151,9.851924363643068,7.080954201381072,3.9461425771317296,3.131610056532269,4.2314214140317175,2.426780315604944,1.6921723084979474,2.0307716329036087,1.830142727279245,64.52874685669711
2024-09-05,28.30682725969151,9.847516698450601,7.093616221388521,3.9461425771317296,3.13273200767217,4.231341274664581,2.426780315604944,1.6921723084979474,2.0307716329036087,1.830142727279245,64.53804302328486
2024-09-09,28.30682725969151,9.862342481370716,7.093776500122793,3.9461425771317296,3.1337738194449343,4.229738487321867,2.426780315604944,1.6921723084979474,2.019191494352492,1.830142727279245,64.54088797081818
