date,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,OSHIDORI SECURITIES LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG),THE HONGKONG AND SHANGHAI BANKING,CCB INTERNATIONAL SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,ORIENT SECURITIES (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2025-02-19,28.30119151994251,2.832351879266978,0.0,0.0,0.5306755012576356,0.0,0.0,6.049586776859504,0.0,17.2598831189364
2025-02-20,28.30093280632411,2.830052202659001,0.0,0.0,0.5319115774344233,0.0,0.0,0.0,0.0,17.26002397412864
2025-02-21,28.30113402802731,2.82818371541502,0.0,0.0,0.5362522170319799,0.0,0.0,0.0,0.0,0.0
2025-02-24,28.30308875314409,2.7996676967301473,0.0,0.0,0.5472906934962272,0.0,30.217238950772547,0.0,0.0,17.260512655407833
2025-02-25,28.30403736974488,2.7929123966942146,0.0,0.0,0.5479518505210205,0.0,0.0,0.0,0.0,0.0
2025-02-26,28.319991376212723,2.7810690621631333,0.0,0.0,0.5427488321954725,0.0,30.216376572044556,0.0,0.0,17.26068513115343
2025-02-27,28.31783542939274,2.7748024434063963,0.0,0.0,0.5436399568810636,0.0,0.0,0.0,0.0,0.0
2025-02-28,28.31885591088753,2.7695419331656486,0.0,0.0,0.5472619475386273,0.0,0.0,0.0,0.0,17.262237412863815
2025-03-03,0.0,2.7620679841897235,0.0,0.0,0.5380632411067194,0.0,0.0,0.0,4.121305066475027,0.0
2025-03-04,0.0,2.759107150556953,0.0,0.0,0.5430362917714696,0.0,0.0,0.0,0.0,0.0
2025-03-05,28.319430830039526,2.752610564139418,0.0,0.0,0.5377757815307223,0.0,0.0,0.0,4.119580309019044,17.262754840100612
2025-03-06,28.325237513474665,2.750109665828243,0.0,0.0,0.5377182896155228,0.0,0.0,0.0,0.0,0.0
2025-03-07,28.324760330578513,2.745769026230686,0.0,0.0,0.5419669421487604,0.0,0.0,0.0,0.0,17.263617218828603
2025-03-10,28.32697376931369,2.740882213438735,0.0,0.0,0.5508206970894718,0.0,0.0,0.0,4.1181430111390585,0.0
2025-03-11,28.32197197269134,2.7363116061803807,0.0,0.0,0.5533790873158463,0.0,0.0,0.0,0.0,0.0
2025-03-12,28.323121810995328,2.7342706431908015,0.0,0.0,0.5538390226374417,0.0,0.0,6.051598993891484,0.0,0.0
