date,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BNP PARIBAS,BANK OF CHINA (HONG KONG) LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,HANG SENG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,EVERBRIGHT SECURITIES INVESTMENT,ICBC (ASIA) SECURITIES LTD,TOTAL_CCASS_PCT
2024-08-06,23.342857069854784,17.37867493712992,5.017122063272883,2.746180827812235,2.1975340307829145,2.108360785755692,1.7565734489112872,1.510580932411035,1.0105106618798458,57.068394757810594
2024-08-09,23.342857069854784,17.387316704477808,5.026628007355561,2.746180827812235,2.1975340307829145,2.108360785755692,1.7565734489112872,1.510580932411035,1.0105106618798458,57.08654246924117
2024-08-12,23.415447915577055,17.387316704477808,5.025763830620773,2.746180827812235,2.1975340307829145,2.108360785755692,1.7565734489112872,1.510580932411035,1.0105106618798458,57.15826913822865
2024-08-13,23.432731450272833,17.387316704477808,5.024035477151195,2.746180827812235,2.1975340307829145,2.108360785755692,1.7565734489112872,1.510580932411035,1.0105106618798458,57.173824319454845
2024-08-15,23.432731450272833,17.387316704477808,5.022307123681617,2.746180827812235,2.1975340307829145,2.108360785755692,1.7565734489112872,1.510580932411035,1.0105106618798458,57.17209596598527
2024-08-19,23.432731450272833,17.38558835100823,5.022307123681617,2.746180827812235,2.1975340307829145,2.108360785755692,1.7565734489112872,1.510580932411035,1.0105106618798458,57.17036761251569
2024-08-20,23.432731450272833,17.38558835100823,5.021442946946827,2.746180827812235,2.1975340307829145,2.108360785755692,1.7565734489112872,1.510580932411035,1.0105106618798458,57.169503435780896
2024-08-21,23.432731450272833,17.38558835100823,5.021442946946827,2.7548225951601246,2.1975340307829145,2.108360785755692,1.7565734489112872,1.510580932411035,1.0105106618798458,57.17814520312879
2024-08-22,23.432731450272833,17.38558835100823,5.0205787702120395,2.7548225951601246,2.1983982075177035,2.108360785755692,1.7565734489112872,1.510580932411035,1.0105106618798458,57.17814520312879
2024-08-23,23.432731450272833,17.38558835100823,5.045639895520917,2.7548225951601246,2.199262384252492,2.108360785755692,1.7565734489112872,1.510580932411035,1.0113748386146346,57.20493468190725
2024-08-28,23.432731450272833,17.38558835100823,5.045639895520917,2.7530942416905466,2.20099073772207,2.108360785755692,1.7565734489112872,1.510580932411035,1.0113748386146346,57.20493468190725
2024-08-30,23.432731450272833,17.383859997538654,5.045639895520917,2.7530942416905466,2.2027190911916477,2.108360785755692,1.7565734489112872,1.510580932411035,1.0113748386146346,57.20493468190725
2024-09-10,23.432731450272833,17.383859997538654,5.045639895520917,2.7530942416905466,2.2027190911916477,2.109224962490481,1.7565734489112872,1.510580932411035,1.0113748386146346,57.205798858642034
2024-09-12,23.432731450272833,17.383859997538654,5.036998128173028,2.7643285392428028,2.2027190911916477,2.109224962490481,1.7539809187069204,1.510580932411035,1.0113748386146346,57.205798858642034
2024-09-19,23.432731450272833,17.383859997538654,5.036998128173028,2.7997597853691483,2.2027190911916477,2.109224962490481,1.7202780260501525,1.510580932411035,1.0113748386146346,57.20752721211161
2024-09-27,23.432731450272833,17.383859997538654,5.03613395143824,2.7997597853691483,2.2027190911916477,2.109224962490481,1.7202780260501525,1.510580932411035,1.0113748386146346,57.20666303537683
2024-10-02,23.432731450272833,17.383859997538654,5.03613395143824,2.795438901695204,2.2027190911916477,2.1109533159600584,1.7202780260501525,1.510580932411035,1.0113748386146346,57.20407050517245
