date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA INTERNATIONAL CAPITAL CORPORATION,GOLDMAN SACHS (ASIA) SECURITIES LTD,CITIC SECURITIES BROKERAGE (HK) LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),CMB INTERNATIONAL SECURITIES LTD,CHIEF SECURITIES LTD,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,TOTAL_CCASS_PCT
2024-10-15,50.668349711989116,20.332044314967828,2.9112736279993845,2.250104957332822,0.5762233970271233,0.49942773019259046,0.0021549117315898406,0.030599746588575734,1.0154752171150674,0.6337501125217464,78.91940372746585
2024-10-16,50.66740693810654,20.332044314967828,2.9103577905134586,2.250104957332822,0.5776240896526568,0.49942773019259046,0.0021549117315898406,0.028121598097247416,1.0131586870036084,0.6407805120460582,78.9211815296444
2024-10-17,50.41271845927787,20.332044314967828,2.913644030904133,2.250104957332822,0.5776510260493016,0.49942773019259046,0.0021549117315898406,0.02852564404692052,1.0153135987351982,0.6401609749232262,78.67174564816149
2024-10-18,50.41180262179195,20.332044314967828,2.9128898117980766,2.250104957332822,0.5776779624459465,0.4995085393825251,0.0022895937148142056,0.030411191812061623,1.0151789167519738,0.6326995930525964,78.66460750305059
2024-10-21,50.41099452989259,20.332044314967828,2.911973974312151,2.250104957332822,0.5781089447922645,0.4995085393825251,0.0021549117315898406,0.03121928371140782,1.015394407925133,0.6397299925769082,78.67123385662524
2024-10-22,50.41032111997647,20.332044314967828,2.911569928362478,2.250104957332822,0.5781897539821991,0.4995085393825251,0.0021549117315898406,0.03323951345977329,1.0160678178412546,0.6377366992251876,78.67093755626213
2024-10-23,50.40668470642942,20.33231367893428,2.9108695820497115,2.250104957332822,0.5789978458815453,0.4995085393825251,0.0021549117315898406,0.031273156504697565,1.01598700865132,0.6385986639178235,78.66649305081573
2024-10-24,50.39927719735208,20.33231367893428,2.9102231085302344,2.250104957332822,0.5787823547083862,0.4995085393825251,0.0021549117315898406,0.031273156504697565,1.016391054600993,0.6292786706786975,78.64930762975631
2024-10-25,50.39243535260428,20.33231367893428,2.910061490150365,2.250104957332822,0.5789170366916107,0.4995085393825251,0.0021549117315898406,0.03485569725846567,1.016391054600993,0.6400801657332916,78.65682288442022
2024-10-28,50.39025350447604,20.333121770833625,2.910061490150365,2.250104957332822,0.5807487116634621,0.4995085393825251,0.0021549117315898406,0.03396679616918487,1.016875909740601,0.635958897046626,78.65275548852685
2024-10-29,50.38351940531483,20.333121770833625,2.910061490150365,2.250104957332822,0.5793210826412838,0.4995085393825251,0.0021549117315898406,0.03402066896247461,1.016875909740601,0.6405380844762544,78.64922682056637
2024-10-30,50.37896715428184,20.333391134800074,2.9095496986141125,2.250104957332822,0.5799944925574056,0.49972403055568404,0.0021549117315898406,0.03523280681149389,1.0182227295728445,0.6445516075763406,78.65189352383422
2024-10-31,50.37438796685222,20.333391134800074,2.9095496986141125,2.250104957332822,0.5796173830043774,0.49972403055568404,0.0021818481282347138,0.03738771854308374,1.019165503455415,0.6440667524367328,78.64957699372275
2024-11-01,50.36496022802651,20.333391134800074,2.910761836463132,2.250104957332822,0.5795365738144428,0.49972403055568404,0.0021818481282347138,0.04048540415724413,1.0192732490419945,0.6394606286104595,78.6398798909306
2024-11-04,50.36065040456334,20.333391134800074,2.9095496986141125,2.250104957332822,0.5795365738144428,0.49972403055568404,0.0021818481282347138,0.04164366921297367,1.018330475159424,0.6451172719058827,78.64023006408698
2024-11-05,50.36065040456334,20.333391134800074,2.9078527056254853,2.250104957332822,0.580533220490303,0.4949832247461864,0.0021818481282347138,0.04274806147541346,1.019407931025219,0.6404034024930301,78.6322568906801
2024-11-06,50.36065040456334,20.333391134800074,2.9068829953462703,2.250104957332822,0.5798059377808915,0.4949832247461864,0.0021818481282347138,0.04258644309554423,1.0202698957178549,0.6366323069627479,78.62748914847396
2024-11-07,50.36065040456334,20.333391134800074,2.9068829953462703,2.250104957332822,0.5795365738144428,0.4949832247461864,0.0021818481282347138,0.04433730887746097,1.0204045777010793,0.6261809850645371,78.61865401037443
2024-11-08,50.36065040456334,20.333391134800074,2.9052129387542878,2.250104957332822,0.5800753017473401,0.4949832247461864,0.002828321647711666,0.04258644309554423,1.0204045777010793,0.6251843383886768,78.61542164277705
2024-11-11,50.36065040456334,20.333391134800074,2.907583341659037,2.250104957332822,0.5800753017473401,0.4946869243830928,0.002828321647711666,0.044687482033844324,1.0205123232876587,0.6173997197583085,78.61191991121322
2024-11-12,49.889263463278056,17.361431151979623,2.907583341659037,2.250104957332822,1.5710518661138955,1.4853402519899097,0.002828321647711666,1.0331050887191369,1.020916369237332,0.6009146450116463,78.12253945696916
2024-11-13,49.889263463278056,17.361431151979623,2.907583341659037,2.250104957332822,1.5716983396333726,1.4853402519899097,0.002828321647711666,1.0331050887191369,1.018357411556069,0.6010762633915154,78.12078859118725
2024-11-14,49.889263463278056,17.361431151979623,2.9013071612407813,2.250104957332822,1.5717252760300175,1.4853402519899097,0.002963003630936031,1.0348559545010536,1.0216167155500986,0.5997294435592718,78.11833737909257
2024-11-15,49.889263463278056,17.361431151979623,2.9013071612407813,2.250104957332822,1.5719407672031764,1.4853402519899097,0.002963003630936031,1.0348559545010536,1.022774980605828,0.5997833163525615,78.11976500811475
2024-11-18,49.889263463278056,17.361431151979623,2.9013071612407813,2.250104957332822,1.5726141771192983,1.4853402519899097,0.002963003630936031,1.0348559545010536,1.022774980605828,0.7077726773216897,78.228427779
2024-11-19,49.889263463278056,17.361431151979623,2.901334097637426,2.250104957332822,1.5723717495494944,1.4853402519899097,0.002963003630936031,1.0348559545010536,1.0220476978964166,0.7006614686074432,78.22037379640318
2024-11-20,49.889263463278056,17.361431151979623,2.9013071612407813,2.250104957332822,1.5721293219796908,1.4853402519899097,0.002963003630936031,1.0348559545010536,1.0236908180917537,0.6896175459830453,78.21070363000767
2024-11-21,49.889263463278056,17.361431151979623,2.9013071612407813,2.250104957332822,1.5725333679293636,1.4853402519899097,0.002963003630936031,1.0348559545010536,1.0237177544883986,0.6776847222693666,78.19920178864031
2024-11-22,49.889263463278056,17.361431151979623,2.9013071612407813,2.250104957332822,1.5709171841306713,1.4853402519899097,0.002963003630936031,1.0352600004507269,1.023636945298464,0.6617383754556017,78.1819624947876
2024-11-25,49.889263463278056,17.361431151979623,2.9013071612407813,2.250104957332822,1.5709710569239612,1.4853402519899097,0.002963003630936031,1.0352600004507269,1.023636945298464,0.6510446259875872,78.17132261811285
2024-11-26,49.889263463278056,17.361431151979623,2.9013071612407813,2.250104957332822,1.5716714032367278,1.4854479975764894,0.002963003630936031,1.035394682433951,1.025387811080381,0.6119597797738932,78.13493141156366
2024-11-27,49.889263463278056,17.361431151979623,2.9013071612407813,2.250104957332822,1.571402039270279,1.4854479975764894,0.002963003630936031,1.035394682433951,1.0247952103541935,0.671840062925362,78.1939497300225
2024-11-28,49.889263463278056,17.361431151979623,2.9013071612407813,2.250104957332822,1.5711865480971203,1.4854479975764894,0.002963003630936031,1.0363643927131665,1.0288626062475694,0.6605807838097882,78.18751206590635
2024-11-29,49.889263463278056,17.361431151979623,2.9013071612407813,2.250104957332822,1.5711865480971203,1.4854479975764894,0.0028552580443565387,1.0363643927131665,1.0293205249905322,0.6574830981956279,78.18476455344857
2024-12-02,49.889263463278056,17.361431151979623,2.9013071612407813,2.250104957332822,1.570755565750802,1.4854479975764894,0.0028552580443565387,1.0363643927131665,1.0313407547388975,0.6906343949563892,78.21950509761137
2024-12-03,49.889263463278056,17.36008433214738,2.9013071612407813,2.250104957332822,1.570782502147447,1.485501870369779,0.002963003630936031,1.0363643927131665,1.031071390772449,0.6910653773027072,78.21850845093552
2024-12-04,49.889263463278056,17.36008433214738,2.9013071612407813,2.250104957332822,1.571428975666924,1.485501870369779,0.003259303994029634,1.0363643927131665,1.0305057264429067,0.6875367093422289,78.21535689252806
2024-12-05,49.889263463278056,17.36008433214738,2.9013071612407813,2.250104957332822,1.5715367212535036,1.485501870369779,0.003259303994029634,1.0359334103668485,1.0302094260798131,0.6885872288113788,78.2157878748744
2024-12-06,49.889263463278056,17.36008433214738,2.9013071612407813,2.250104957332822,1.5707286293541574,1.485501870369779,0.003259303994029634,1.035798728383624,1.0299669985100093,0.6948903456262792,78.22090579023691
2024-12-09,49.808454273343436,17.36008433214738,2.9013071612407813,2.250104957332822,1.5707286293541574,1.4854479975764894,0.003259303994029634,1.037145548215868,1.030640408426131,0.6983920771901126,78.1455646888212
2024-12-10,49.808454273343436,17.36008433214738,2.9013071612407813,2.250104957332822,1.5711057389071854,1.4854479975764894,0.003259303994029634,1.0377650853387,1.0308828359959348,0.6965334658216163,78.14494515169838
2024-12-11,49.808454273343436,17.36008433214738,2.9013071612407813,2.250104957332822,1.5724525587394294,1.4846937784704328,0.003393985977253999,1.0380344493051485,0.9960002023408243,0.699604215039132,78.11412991393664
2024-12-12,49.808454273343436,17.36008433214738,2.901334097637426,2.250104957332822,1.5717522124266623,1.4841819869341804,0.0031246220108052686,1.0380344493051485,0.9958655203576,0.706607812848782,78.11954426434424
2024-12-13,49.808454273343436,17.36008433214738,2.901334097637426,2.255222872695348,1.5717522124266623,1.4841819869341804,0.002989940027580904,1.0380344493051485,0.9972123401898436,0.6972878196096561,78.11655432431665
2024-12-16,49.808454273343436,17.36008433214738,2.901361034034071,2.255222872695348,1.571886894409887,1.4841819869341804,0.002989940027580904,1.0380344493051485,0.9972123401898436,0.7024326713688268,78.1218607944557
2024-12-17,49.808454273343436,17.36008433214738,2.9013071612407813,2.255222872695348,1.572264003962915,1.484505223693919,0.003259303994029634,1.0383038132715974,0.9981551140724142,0.6992003037714422,78.12075640219327
2024-12-18,49.808454273343436,17.36008433214738,2.9013071612407813,2.255222872695348,1.571886894409887,1.484505223693919,0.003259303994029634,1.0383038132715974,0.9981551140724142,0.6968299008666933,78.11800888973548
2024-12-19,49.808454273343436,17.208216927863585,2.9013071612407813,2.255222872695348,1.5712404208904098,1.484505223693919,0.003420922373898872,1.0383038132715974,0.9981551140724142,0.6950520986881317,77.96387882813352
2024-12-20,49.808454273343436,17.208216927863585,2.9013071612407813,2.255222872695348,1.5713212300803445,1.484505223693919,0.003420922373898872,1.0383038132715974,0.9981551140724142,0.6877253988007261,77.95663293743604
2024-12-23,49.808454273343436,17.208216927863585,2.9013071612407813,2.255222872695348,1.5711596117004751,1.484639905677143,0.003555604357123237,1.0383038132715974,0.9967005486535909,0.6802640169300963,77.94782473573318
2024-12-27,49.808454273343436,17.208216927863585,2.9013071612407813,2.255222872695348,1.5711596117004751,1.484639905677143,0.003151558407450142,1.0383038132715974,0.9967005486535909,0.6851664411194632,77.95232311397287
