date,THE HONGKONG AND SHANGHAI BANKING,GAOYU SECURITIES LIMITED,BANK OF CHINA (HONG KONG) LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,ONE CHINA SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CMB WING LUNG BANK LTD,FUTU SECURITIES INTERNATIONAL,LONG BRIDGE HK LTD,INTERACTIVE BROKERS HONG KONG LTD,TOTAL_CCASS_PCT
2024-08-22,22.25231324757391,14.464454976303317,1.1731888964116453,1.1773414579101784,1.0616113744075828,0.0,0.0,0.21141954412096592,0.0,0.23669600541638458,40.57702550214399
2024-08-23,22.255021439855565,14.464454976303317,1.1731888964116453,1.1773414579101784,1.0616113744075828,0.0,0.0,0.20925299029564431,0.0,0.23669600541638458,40.577567140600316
2024-08-26,22.255021439855565,14.464454976303317,1.1731888964116453,1.1773414579101784,1.0616113744075828,0.0,0.0,0.20925299029564431,0.0,0.23561272850372378,40.576483863687656
2024-08-27,22.255021439855565,14.460844053261116,1.1726472579553149,1.1773414579101784,1.0616113744075828,0.0,0.0,0.21051681336041525,0.0,0.23561272850372378,40.57359512525389
2024-08-28,22.255021439855565,14.44134506883322,1.1726472579553149,1.1773414579101784,1.0616113744075828,0.0,0.0,0.2271270593545475,0.0,0.23561272850372378,40.570706386820135
2024-08-29,22.255021439855565,14.435025953509365,1.1726472579553149,1.1773414579101784,1.0616113744075828,0.0,0.0,0.23326562852629204,0.0,0.23561272850372378,40.57052584066802
2024-09-03,22.257729632137217,14.41390205371248,1.1726472579553149,1.1773414579101784,1.0616113744075828,0.0,0.0,0.23452945159106298,0.0,0.23561272850372378,40.553373956217555
2024-09-04,22.257729632137217,14.37093206951027,1.1609117580681563,1.1773414579101784,1.0616113744075828,0.0,0.0,0.2450011284134507,0.0,0.23561272850372378,40.50914014895057
2024-09-05,22.257729632137217,14.369487700293387,1.1544120965921914,1.1773414579101784,1.0616113744075828,0.0,0.0,0.25186188219363576,0.0,0.23669600541638458,40.50914014895057
2024-09-09,22.257729632137217,14.353419092755585,1.1544120965921914,1.1773414579101784,1.0616113744075828,0.0,0.0,0.25781990521327014,0.0,0.23669600541638458,40.49902956443241
2024-09-10,22.257729632137217,14.353238546603475,1.1544120965921914,1.1773414579101784,1.0616113744075828,0.0,0.0,0.25781990521327014,0.0,0.23669600541638458,40.498849018280296
2024-09-11,22.259535093658318,14.353238546603475,1.1544120965921914,1.1773414579101784,1.0616113744075828,0.0,0.0,0.25781990521327014,0.0,0.23669600541638458,40.5006544798014
2024-09-16,22.259535093658318,14.353238546603475,1.1544120965921914,1.1773414579101784,1.0616113744075828,0.0,0.0,0.2574588129090499,0.0,0.23669600541638458,40.50029338749718
2024-09-17,22.259535093658318,14.334100654479801,1.1544120965921914,1.1773414579101784,1.0616113744075828,0.0,0.0,0.27280523583841115,0.0,0.23669600541638458,40.49650191830287
2024-09-24,22.259535093658318,14.335003385240352,1.1544120965921914,1.1773414579101784,1.0616113744075828,0.0,0.0,0.2715414127736403,0.0,0.23669600541638458,40.496140825998644
2024-09-26,22.259535093658318,14.335003385240352,1.1544120965921914,1.1773414579101784,1.0616113744075828,0.0,0.0,0.2708192281651997,0.0,0.23561272850372378,40.49433536447754
2024-09-27,22.259535093658318,14.335003385240352,1.1544120965921914,1.1773414579101784,1.0616113744075828,0.0,0.0,0.2706386820130896,0.0,0.23561272850372378,40.494154818325434
2024-10-03,22.259535093658318,14.335545023696683,1.153870458135861,1.1722861656510946,1.0616113744075828,0.0,0.0,0.2679304897314376,0.0,0.23561272850372378,40.4863913337847
2024-10-04,22.259535093658318,14.327962085308057,1.153870458135861,1.1722861656510946,1.0616113744075828,0.0,0.0,0.27280523583841115,0.0,0.23561272850372378,40.48368314150304
2024-10-07,22.259535093658318,14.327962085308057,1.153870458135861,1.1721056194989845,1.0616113744075828,0.0,0.0,0.2715414127736403,0.0,0.23561272850372378,40.482238772286166
