date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FB SECURITIES (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,EVERBRIGHT SECURITIES INVESTMENT,THE BANK OF EAST ASIA LTD,DBS BANK LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,GOLDMAN SACHS (ASIA) SECURITIES LTD
2024-11-22,40.82745659402821,17.074286230938093,14.1392145770676,4.507292708655132,4.349433037255461,3.859471402001101,3.6716911437098565,5.487729825211714,3.5043953654955224,2.5790291156373013
2024-11-25,40.81659525156909,17.054144406204944,14.136399387733317,4.554212087475036,4.348567043078068,3.8587029616702995,3.670960091380874,5.477565659619352,3.5102533883577265,2.5725997229112956
2024-11-26,40.81835242312909,17.06341666867029,14.130663903171945,4.516639186938094,4.346802722584879,3.8571373910708444,3.670836332768329,5.5300235059161995,3.4849440651708363,2.5811838005794887
2024-11-27,40.85102420282636,17.08233473969226,14.134408143153317,4.510459562434726,4.347954506581483,3.860891431026772,3.6698419613279354,5.5088131787505565,3.4582339164172575,2.5760383577893315
2024-11-28,40.86283289332957,17.081685087856833,14.139042373208765,4.498437876754128,4.349817328724977,3.8621572964899222,3.6710451876493826,5.512067782985914,3.4331503463173054,2.589763826683204
2024-11-29,40.8380295989086,17.11882712855679,14.131235106177794,4.5200448036772265,4.347415455633087,3.8600246985010767,3.669018117547588,5.525576367826818,3.4117501040610647,2.578078619109957
2024-12-02,40.829300756886845,17.10942548591824,14.12821465391735,4.540761281630602,4.346486226111294,3.859199645330681,3.6682338906924343,5.537066258115836,3.401260717253947,2.580051084142769
2024-12-03,40.82795671213092,17.10928149934841,14.128371312184429,4.527255517165194,4.34636640174538,3.8590932545298404,3.6681327644545694,5.543356308449231,3.41021700472971,2.57996922526232
2024-12-04,40.83258300088489,17.105444604640738,14.129858816045815,4.52369026060013,4.3468240084052505,3.8594995586954597,3.6685189633681334,5.544486143845492,3.216221088546014,2.7728735549680765
2024-12-05,40.84244135560313,17.110031306870084,14.132879526472037,4.522089637786981,4.34748012114345,3.8603246504892796,3.669303226935499,5.547911369882185,3.4074576790976203,2.5600811257197313
