date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,CITIBANK N.A.,HANG SENG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,ORIENT SECURITIES (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,SHANGHAI COMMERCIAL BANK LTD,TOTAL_CCASS_PCT
2024-08-22,12.26933934847147,9.284964679901321,4.178539747119755,4.661163637619259,3.830213957257496,1.9546827308084522,2.24529848788108,1.6044726263582831,1.2543097952508637,1.1776017718298255,42.460586782497806
2024-08-23,12.268314452151701,9.282744071208487,4.17939382738623,4.6588471157125,3.8310680375239707,1.9546827308084522,2.24529848788108,1.6044726263582831,1.2543097952508637,1.1776017718298255,42.45673291611139
2024-08-26,12.263617010686092,9.289576713340285,4.17939382738623,4.648598152514805,3.83610711109617,1.9593801722740622,2.244358999587958,1.6044726263582831,1.2543097952508637,1.1776017718298255,42.45741618032458
2024-08-27,12.263617010686092,9.294444970859189,4.17939382738623,4.645181831448907,3.83610711109617,1.9598072124072996,2.242821655108304,1.6044726263582831,1.2543097952508637,1.1776017718298255,42.45775781243116
2024-08-28,12.256692640333675,9.294584100534598,4.180845763839237,4.639869067855315,3.8373882314958823,1.9686896471786348,2.241967574841829,1.6044726263582831,1.2543097952508637,1.1776017718298255,42.45642121951814
2024-08-29,12.254301215587548,9.294584100534598,4.180845763839237,4.639271211668783,3.839523432162068,1.9694583194184618,2.241967574841829,1.6044726263582831,1.2543097952508637,1.1776017718298255,42.4563358114915
2024-08-30,12.25353254334772,9.289545026962397,4.180845763839237,4.639185803642136,3.839523432162068,1.9729600485110077,2.241967574841829,1.6044726263582831,1.2516621464247928,1.1776017718298255,42.4512967379193
2024-09-02,12.249262142015347,9.28817849853604,4.180845763839237,4.635086218363058,3.84080455256178,1.9819278913089902,2.2415405347085917,1.6044726263582831,1.2516621464247928,1.1776017718298255,42.45138214594594
2024-09-03,12.22773931930019,9.287751458402802,4.18511616517161,4.628766024391147,3.84080455256178,1.981500851175753,2.2414551266819447,1.6044726263582831,1.2516621464247928,1.1776017718298255,42.42687004229813
2024-09-04,12.224408406260938,9.282797792857249,4.18511616517161,4.621420934099465,3.8401212883486004,1.9812446270958108,2.251277049746402,1.6044726263582831,1.2542243872242163,1.1776017718298255,42.4226850489924
2024-09-05,12.171028389606278,9.28843472261598,4.18511616517161,4.616979716713797,3.841402408748312,1.983550643815292,2.249056441053568,1.6048996664915205,1.2559325477571655,1.1776017718298255,42.37400247380335
2024-09-09,12.181618984910562,9.277331679151812,4.191521767170168,4.6047556928998805,3.841402408748312,1.9893583896273186,2.249056441053568,1.6048996664915205,1.2602029490895381,1.1776017718298255,42.37774975097251
2024-09-10,12.20954740962428,9.271096893206547,4.19280288756988,4.5793041009589395,3.842939753227967,1.9976429682121222,2.249825113293395,1.6048996664915205,1.2602029490895381,1.1818721731621982,42.39013391483638
2024-09-11,12.215355155436306,9.26742861846204,4.195365128369303,4.575456469358471,3.842939753227967,2.011222844449067,2.249825113293395,1.5873056130021448,1.2602029490895381,1.1818721731621982,42.38697381785043
2024-09-12,12.24012348316407,9.267599434515335,4.193656967836355,4.575456469358471,3.842939753227967,1.9997781688783083,2.243419511294836,1.5873056130021448,1.2584947885565891,1.1818721731621982,42.39064636299627
2024-09-13,12.20254395143919,9.308595287306112,4.254296666756048,4.557520783762506,3.8455019940273902,1.9733870886442448,2.242309206948419,1.5873056130021448,1.2584947885565891,1.1818721731621982,42.411827553604844
