date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,GOLDMAN SACHS (ASIA) SECURITIES LTD,HSBC BROKING SECURITIES (HONG KONG) LTD
2024-07-30,14.282897972755304,17.979360386385444,3.814562095199223,5.567015205263666,7.641716298010392,5.69757892614256,3.210497675447778,1.7376980211106527,0.9650761341297815,2.7710942054450096
2024-07-31,14.166983780138281,18.09610938626541,4.848449170512411,5.11371193549535,7.646217820053772,5.698704306653405,3.0736514053290414,1.7370227928041457,0.6195597840052685,0.0
2024-08-01,17.797267742675984,18.51010018880059,4.3813037204607035,5.100882597671718,7.645767667849435,0.0,3.0304367937125978,0.0,0.0,0.0
2024-08-02,17.82652763595795,18.04151740276043,4.984635067347384,5.104258739204253,7.65379500703329,5.718511003644275,3.039439837799357,1.7363475644976392,0.5459364906813879,0.0
2024-08-05,17.80790393896008,18.237170881625566,5.089840139023207,5.042441362667441,7.764744245912568,5.722767417812393,3.011328958018963,0.0,0.006977359167238228,0.0
2024-08-06,17.764446470229398,18.344911435592323,4.956963085966219,5.669473223112516,7.756015119442148,5.714000703632911,3.0129922704139918,1.7370227928041457,0.006527206962900278,0.0
2024-08-07,17.772611555987783,18.21773713573599,4.7668973464135265,6.209625933196468,7.758350058926049,5.689242332394323,2.9767518668993564,1.736900126328464,0.0,0.0
2024-08-08,17.760784932199314,18.287060575204038,4.691271776084751,6.276023383336316,7.694461982249283,5.689083878818396,2.9736008014689905,1.7348744414089432,0.0063021308607313035,0.0
2024-08-09,17.760109703892805,18.417668636075057,4.634552598338169,6.333867941593742,7.700764113110015,5.689534031022735,2.9745011058776667,1.7306436859164727,0.0,0.0
2024-08-12,19.627157835539457,18.46178355210018,4.63207676121431,6.433576654854598,7.699966218327825,0.0,2.9743104664191296,1.7313189142229797,0.0,0.0
2024-08-13,19.573794767552318,18.27662987340122,4.6451311751401105,6.4430298511456945,7.792247420217105,5.6962863140878035,2.97205970539744,0.0,0.0,0.0
2024-08-14,19.574019843654487,18.2293809977295,4.666513404846163,6.452483047436791,7.794152239269761,5.694260629168283,2.98083767338203,1.7315439903251486,0.04499811465003018,0.0
2024-08-15,19.614533542044903,18.281885400386866,4.803134598862731,6.4774664947775475,7.806081272684717,5.689083878818396,2.980612597279861,1.7605788075049464,0.0,0.0
2024-08-16,19.620835672905635,18.33070688278444,4.80580557696717,6.477691570879716,7.799841262828185,5.69043433543141,2.979262140666847,0.0,0.04544826685436813,0.0
2024-08-19,19.639905920890207,18.415093315314042,4.823586589038519,6.442804775043526,7.8021944334763615,5.695184341491584,2.9765612274408193,1.7661451645876873,0.0006752283065069254,0.0
2024-08-20,19.63472917054032,18.410849280331544,4.851721101809641,6.42862498060688,7.804445194498051,0.0,2.975640666182948,1.7753732847766153,0.0,0.0
2024-08-21,19.617636441189404,18.408373443207683,4.842492981620713,6.420072088724458,7.813898390789148,5.690232667243867,2.970469317659514,1.778074198002643,0.0,0.0
2024-08-22,19.639693899201962,18.184197645447384,4.8550972433421755,0.0,7.826277576408441,0.0,2.9727200786812036,1.7778491219004742,0.0,0.0
2024-08-23,19.646221106164862,18.180146275608344,4.859373689283386,6.413094729557221,7.830103870145313,5.6924834282655565,2.960565969164079,0.0,0.0,0.0
2024-08-26,19.649644513678854,18.172821173863255,4.867026276757131,6.4234482302569935,7.831229250656159,5.692258352163387,2.9603629505199227,0.0,0.0,0.0
2024-08-27,19.64176685010294,18.185107628128453,4.868601809472314,6.448064578475113,7.82672772861278,5.695409417593753,2.9563115806808806,1.7753732847766153,0.0,0.0
2024-08-28,19.703790846501544,18.179930877778567,4.89583601783476,6.44626396965776,7.8222262065693995,5.695737128398512,2.9218749370490276,0.0,0.0,2.7656923789929544
