date,BNP PARIBAS,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,MINERVA HOLDING FINANCIAL SECURITIES LTD
2024-08-30,73.88763321331791,0.0,6.4401470645294765,5.676830084189692,4.815605462666184,2.915471981915371,2.9408554444444848,1.9092352651719675,1.4142214837649187
2024-09-02,73.87423904204226,0.0,6.4552945923810485,5.6758010021749685,4.814732501365927,2.914943472212504,2.9421351090801577,1.9088891636251308,1.4139651171180057
2024-09-04,73.87242626625108,0.0,6.4552945923810485,5.6758010021749685,4.814732501365927,2.914943472212504,2.943947884871335,1.9088891636251308,1.4139651171180057
2024-09-05,73.86974808043067,0.0,6.455060560830743,5.67559523054228,4.814557947084093,2.914837793264767,2.9438411543917797,1.9124453785138025,1.4139138549418644
2024-09-09,73.86840906034075,0.0,6.454943551418946,5.675492350320898,4.814470674689334,2.914784956664326,2.9456004692658766,1.9124107120522371,1.4138882252476208
2024-09-10,73.8550215288901,0.0,6.453773690569009,5.674463753207403,4.813598124726562,2.914256695994093,2.937817228984095,1.9374369982286106,1.4136319794001198
2024-09-16,73.84163884913517,0.0,6.452604253681391,5.673435528861678,4.812725890979437,2.9137286267676714,2.9390969108315685,1.9533941133259232,1.4133758264171539
2024-09-20,73.8162251145799,0.0,6.450383490785969,5.671482928854498,4.811069517418572,2.9127258222925687,2.9398967721273874,1.9853269625305356,1.4128893914105745
2024-09-24,73.78815659436269,0.0,6.447930741148084,5.669326355106612,4.809240114711965,2.9116182622201956,2.9405895882124367,2.020786202116283,1.4123521421217369
2024-09-26,73.27158969204038,0.0,6.661870694995256,5.635446472965496,4.882256019321941,2.962429278292548,2.975012412362965,2.209274776460623,1.4021206535607933
2024-09-27,73.26632157805602,0.0,6.666784100807384,5.635041293079306,4.881904992664561,2.962216284208835,2.9765959749088777,2.209115933020839,1.4020198432541815
2024-09-30,73.23953681126075,0.0,6.662712271785488,5.631599615003371,4.878923302822698,2.9604070703430803,2.9765743419650996,2.2490830462445044,1.4011635405750016
2024-10-02,73.26454266400378,0.0,6.664987092315372,5.6011768041917005,4.880589092134955,2.9614178291010336,2.9775906206434546,2.2480539639332373,1.40164193367646
2024-10-03,73.26717585236369,0.0,6.66522663747313,5.601378115126381,4.880764504550288,2.961524264911221,2.977697637717168,2.2445406780093524,1.4016923098487575
2024-10-04,73.26537881094082,0.0,6.66522663747313,5.601378115126381,4.880764504550288,2.961524264911221,2.977697637717168,2.2463377194322356,1.4016923098487575
2024-10-07,73.27279896736198,0.0,6.666065181141201,5.602082817367786,4.881378547311809,2.9618968505043672,2.978072258061733,2.235836723279395,1.4018686549717272
2024-10-08,73.27183821422832,0.0,6.666304803801429,5.602284193434634,4.881554016480098,2.9620033207508105,2.978179309759765,2.235917094102198,1.4019190474427379
2024-10-09,73.27183821422832,0.0,6.666304803801429,5.602284193434634,4.881554016480098,2.9620033207508105,2.9925579666566136,2.22153843720535,1.4019190474427379
