date,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,BOCI SECURITIES LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,ICBC (ASIA) SECURITIES LTD,HANG SENG SECURITIES LTD,THE BANK OF EAST ASIA LTD
2024-09-25,31.816675718267977,37.06978499285106,4.379752850982438,2.897272081614667,1.0323750714927384,1.7462208527446117,5.4598897579673755,0.6490954338730951,0.0
2024-09-26,31.77032683388898,37.07393879220391,4.380478117536111,2.890412312750063,1.05527516512498,1.734682521208912,5.452109625846161,0.6292495036316915,0.659291428884593
2024-09-27,31.579203668598666,37.08626832361635,4.445422440751335,2.9061044436386148,1.0288101226481456,1.7437813197913499,5.453692025599628,0.6353153693533166,0.6607419619919381
2024-09-30,31.35718203825556,37.068600039169006,4.446741107212558,2.912697775944729,1.1303252206324317,1.7385066539464582,5.467208356827162,0.637886768952701,0.6606100953458158
2024-10-02,30.848594801491757,37.0791602498571,4.395313115224868,3.017795492904188,1.3865318943829525,1.7338913213321785,5.4693841564881795,0.6403922352290244,0.0
2024-10-03,30.504950321697088,37.24448311243368,4.5335752936840805,2.9735542331301623,1.463061229926604,1.7404434453113793,5.468461089965324,0.6498866337498288,0.0
2024-10-04,30.488637032971976,37.205055117109765,0.0,2.9819277651589275,1.4147617081848418,1.7041141843046905,5.469054489872874,0.6576008325479823,0.6608738286380604
2024-10-07,30.715622123875125,37.13714379435679,0.0,2.915862575451664,1.148558883325021,1.7062899839657082,5.470768756272464,0.6291176369855692,0.6615331618686718
2024-10-08,30.66044714113787,37.18771465314468,0.0,2.929444840002259,1.1727834455509152,1.6853891205553264,5.48151588793143,0.6027443077611127,0.0
2024-10-09,30.659689237589284,37.07430946934617,0.0,2.902478110870252,1.2220703847388408,1.6714771893894254,5.477823621840006,0.6171177721884415,0.6624562283915278
2024-10-10,30.944549874208942,37.07302858267906,4.631815945045181,2.9133571091753403,1.18292445217098,1.6877627201855274,5.479142288301229,0.6065684404986589,0.6631155616221392
2024-10-14,31.29651599650713,37.05349135225622,4.590277951516663,2.8560610514352085,1.0681309763220876,1.668905789790041,5.4604831578749256,0.5896235764719455,0.6624562283915278
2024-10-15,31.2153541856852,37.055601218594184,4.54102575918999,2.8346327214403373,1.2499070381353166,1.667455256682696,5.456659025137379,0.5902169763794959,0.0
2024-10-16,31.670557848099325,37.05415068548684,4.406587713468323,2.8171603908291347,1.1829121885728906,1.6710451942567288,5.436615294926792,0.5877115101031725,0.6619946951300998
2024-10-17,31.961126002829772,37.10095365266176,4.3906318492875265,2.8084571921850645,1.1331984629847902,1.651067397369203,5.429362629390067,0.5908103762870461,0.0
2024-10-18,32.02874108716223,37.08915831303277,4.393401048856094,2.8066769924624135,1.1158837789490268,1.651858597245937,5.433120828804552,0.5846126439192988,0.0
