date,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,KGI ASIA LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,ICBC (ASIA) SECURITIES LTD
2025-01-08,26.879537008014537,18.732844703954058,12.182683208285017,12.762501619877838,10.755064709764909,6.272433348939706,2.712315818935606,4.479381454266108,3.306751501408918,1.9164866265533023
2025-01-10,26.968449046187594,18.767593296653054,12.273622007686317,12.786175492032225,10.771760568010794,6.284068433472697,2.740127198852414,4.1752769550209585,3.3128853781849847,1.9200416238989597
2025-01-13,26.980741555604983,18.776147767729448,12.28572803910648,12.792003568477373,10.776670452446394,6.286932779518911,2.747887760701171,4.17718009120806,3.255791185664895,1.9209167995422878
2025-01-16,26.978984796786992,18.774925223008395,12.291439254286145,12.791170660863532,10.775968766363864,6.286523427367646,2.7477088413766406,4.176908108396007,3.255579195943887,1.9207917256068932
2025-01-20,26.987770879328956,18.78103953916859,12.295442132847407,12.795336283924636,10.779478110831938,6.288570721368917,2.7160372768625978,4.178268376756251,3.2566394206985585,1.9214172582121496
2025-01-22,26.987770879328956,18.78103953916859,12.301955411688805,12.795336283924636,10.779478110831938,6.288570721368917,2.7095239980212007,4.178268376756251,3.2566394206985585,1.9214172582121496
2025-01-23,26.983377122846864,18.77798188336646,12.306464804609597,12.793253133300992,10.77772315292768,6.28754690771296,2.718851200383387,4.17758813184657,3.2561092220160326,1.9211044409894593
2025-01-27,26.983377122846864,18.77798188336646,12.31948924149766,12.793253133300992,10.77772315292768,6.28754690771296,2.7058267634953235,4.17758813184657,3.2561092220160326,1.9211044409894593
2025-02-03,26.98162002081137,18.77675909979717,12.32519881607113,12.792420062962215,10.777021329756925,6.287137475586673,2.7056505656201577,4.177316095897307,3.25589719087865,1.9209793426184032
2025-02-04,26.98162002081137,18.77675909979717,12.331710610452886,12.792420062962215,10.777021329756925,6.287137475586673,2.6991387712384003,4.177316095897307,3.25589719087865,1.9209793426184032
2025-02-05,27.194548195800945,18.893020051220823,12.621009146406834,11.112384951229586,10.97806825700555,6.3260658434034,3.462792126606625,4.20318098243737,3.276056884206836,1.9328735616820332
2025-02-06,27.23112458820141,18.918430972191004,12.637984276116846,11.1273309966485,10.989553184681004,6.334574338009507,3.3362310211059913,4.208834218366752,3.280463147596845,1.9354732570821387
2025-02-07,27.174962316878165,18.879413044384577,12.611919326077958,11.104381662311857,10.999624981591591,6.321509725803125,3.502856243712762,4.200153795031284,3.2736974240306185,1.9314814801780649
2025-02-10,27.19641263935441,18.873852189068216,12.608204535873991,11.101110911274388,10.996385086213856,6.319647750492583,3.50182449146922,4.198916656593467,3.272733169597402,1.9309125700624672
