date,UPBEST SECURITIES CO LTD,YUEN META (INTERNATIONAL) SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,VALUABLE CAPITAL LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,EDDID SECURITIES AND FUTURES LTD,WATON SECURITIES INTERNATIONAL LIMITED,DBS BANK (HONG KONG) LTD
2024-09-30,69.23789600675164,14.899688629992747,4.723538521685619,3.075999633088637,2.222871342649201,2.3374272448311064,0.3784886635966041,1.4026344592109445,1.3714648045618125,0.34999069363168334
2024-10-02,69.2385126183307,14.89982132207416,4.723580588078659,3.0760270270029575,2.2246722778481822,2.3374480612450577,0.37849203430117456,1.4026469506455292,1.3679147404390686,0.3508843800345007
2024-10-03,69.1658281860558,14.90820008831106,4.718621920418626,3.0683497367126398,2.205433828830151,2.333215011931483,0.3780947051617489,1.4011744955994225,1.3549134963796319,0.46616853059942687
2024-10-04,69.16459756167356,14.907934836018056,4.718537964925891,3.0496131492771403,2.222297345585163,2.3367319735806946,0.3780879779588053,1.401149565376749,1.353110151706689,0.4679394738972508
2024-10-07,69.16090595126157,14.925820132836714,4.718286116371937,3.0423338080678777,2.185706309225062,2.3366072522002805,0.3780677977862129,1.4010747800312595,1.3512587878523703,0.4999390643667097
2024-10-08,69.15844509657583,14.942190301586553,4.714560073725045,3.037777858824722,2.186518077965777,2.3347450327365413,0.3780543455345555,1.4010249275692352,1.3467630097395695,0.49992127574216516
2024-10-09,69.14798841757333,14.942599274660463,4.713847237552108,3.0310927142599216,2.1710675915294244,2.35218012470053,0.39489588178738416,1.4008130941782209,1.3456699755502528,0.4998456882083556
2024-10-10,69.0871564103316,14.947226179061621,4.734581729739625,3.022205792575913,2.1691576241902055,2.35099944875772,0.3945484774783021,1.4013579932055908,1.3391544044139665,0.5536119402454553
2024-10-14,69.07672127613007,14.98139653211101,4.719650788489099,3.0181953555153367,2.1679414995493884,2.333763065593254,0.39448888367642315,1.4011463278327012,1.3327327151230512,0.5739635559796608
2024-10-15,69.07426640854032,15.001298627837546,4.719483060236489,3.0118688957458017,2.1678644546459043,2.32568401556458,0.394474864221574,1.4010965335077077,1.3300199813957125,0.5739431583043623
2024-10-16,69.0834730618025,15.003298095398037,4.720112102662438,3.0007188574343098,2.1681534012738024,2.317108244172205,0.39452744231591164,1.4012832804779114,1.3373058573996555,0.5740196570632408
2024-10-17,69.08961219423257,15.004631369910937,4.720531557446612,3.002762826169447,2.1683460751546777,2.3128708835682197,0.39456250216609484,1.401407806116963,1.331204117668491,0.5740706675659848
2024-10-18,69.09882293898782,15.006631726047056,4.721160879422866,2.996941732946895,2.1686351501922267,2.308735362283032,0.39461510362645946,1.4015946360786635,1.3287152700935967,0.5741472003213802
2024-10-21,69.09820881293307,15.00916464694853,4.7211189194041365,2.993360037754731,2.1721709355524017,2.3078260781976794,0.3946115964260988,1.4015821791981031,1.3278146960824133,0.5741420975028374
2024-10-22,69.0969805935718,15.016896600860724,4.721035001604192,2.98530808930506,2.1721323252549007,2.307785056632571,0.3946045822123986,1.4015572661012445,1.3295685923192528,0.5741318921378592
2024-10-23,69.10066538265205,15.017697418727712,4.721286763954327,2.985467289179703,2.1722481602654065,2.3034641434327865,0.39462562560160414,1.4016320080489408,1.328750698816212,0.5741625093212528
2024-10-24,69.09820881293307,15.019829825230316,4.7211189194041365,2.98358362432976,2.1721709355524017,2.3033822539136017,0.3946115964260988,1.4015821791981031,1.3313697555096755,0.5741420975028374
2024-10-25,69.0969805935718,15.053335312281238,4.717480005368045,2.972865602478543,2.157023591251273,2.3024525622783494,0.3946045822123986,1.4015572661012445,1.3295685923192528,0.5741318921378592
2024-10-28,69.08592858384792,15.086471818868738,4.716725448013386,2.961726812024984,2.156678576961207,2.2985298591172993,0.3945414655082787,1.4013330880778279,1.3240242874039083,0.5740400601764595
2024-10-29,69.08163153481597,15.111301458616744,4.698661041542454,2.957099838550168,2.15654443454203,2.2983868937449223,0.39451692557580365,1.403911582003986,1.3239419349278096,0.5740043556801108
2024-10-30,69.0889982318899,15.112912891030328,4.699162095321544,2.9485287126090927,2.156774403192492,2.29774334174289,0.3945589959006742,1.4040612917186155,1.3231944704867205,0.5740655661077376
2024-10-31,69.08961219423257,15.119267772567301,4.699203854626823,2.947666260551659,2.1567935694606253,2.297763760737536,0.39456250216609484,1.4040737689694365,1.3169856491219651,0.5740706675659848
