date,KGI ASIA LTD,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,ICBC (ASIA) SECURITIES LTD,CHINA CONSTRUCTION BANK (ASIA),UPBEST SECURITIES CO LTD,HANG SENG BANK LTD,CMB WING LUNG BANK LTD
2024-08-22,49.507650356006664,13.051052870777156,11.30889259203151,8.5062869262233,0.0,5.400696864111499,5.052264808362369,3.613088925920315,3.560066656567187
2024-08-23,49.71999394581504,13.039200847585894,11.283487210534282,8.498562131073104,0.0,5.244437717572272,5.047676706523385,3.6098077796276677,3.5568336612683513
2024-08-26,49.72752043596731,13.041174689676053,11.28519527702089,8.348471086890706,0.0,5.245231607629427,5.184680593399939,3.610354223433242,3.5573720859824403
2024-08-27,50.04164458241841,13.046111910350572,11.138032861361399,8.245627318846067,0.0,5.1563564776255015,5.201786931172863,3.6117210570152194,3.558718861209965
2024-08-28,50.01508978421608,12.99984910215784,11.136260751471253,8.21638750565867,0.0,5.1380715255771845,5.349328504602384,3.598913535536442,3.546099290780142
2024-08-29,50.14709210228558,12.996907294259636,11.013049709587387,8.214528173794976,0.0,5.136908802896583,5.348117975409218,3.5980991174473864,3.5452968243192275
2024-08-30,50.116813625744214,12.985153364986058,11.003089908810008,8.207099253900067,0.0,5.132263169794257,5.418644961941367,3.594845127741352,3.542090587082674
2024-09-02,50.17689123071133,12.969514490026345,10.989838163342116,8.1972149040271,0.0,5.126082047421905,5.412118931125329,3.5905156191193077,3.5378246142265715
2024-09-03,50.161787944916846,12.965610655429302,10.986530212958085,8.209797576943338,0.0,5.124539092482505,5.4255399202347805,3.5894348709458948,3.536759726089247
2024-09-04,50.161787944916846,12.965610655429302,10.971480171570471,8.209797576943338,0.0,5.124539092482505,5.440589961622395,3.5894348709458948,3.536759726089247
2024-09-05,50.267098036265146,12.96365961929125,10.849446994206605,8.22360996162817,0.0,5.131291851628922,5.439771273794297,3.588894740802046,3.5362275223835677
2024-09-09,50.28610149073934,12.972443909049842,10.789037795512723,8.229182352055412,0.0,5.149826833308237,5.443457310645987,3.5913266074386385,3.5386237012498114
2024-09-10,50.29023746701847,12.98906897851489,10.652091971353185,8.134187712024124,0.0,5.329815303430079,5.4655107425555975,3.5959291368262343,3.5431586882774218
2024-09-11,50.290193713725785,12.98711087661114,10.650486168689229,8.132961483379814,0.0,5.329011833873521,5.47222431597196,3.5953870505766186,3.542624557171931
2024-09-13,50.35049370618828,12.98711087661114,10.590186176226728,8.132961483379814,0.0,5.329011833873521,5.47222431597196,3.5953870505766186,3.542624557171931
2024-09-16,50.32773299178784,12.981240111504558,10.58539893015897,8.12928501469148,0.0,5.37180742861448,5.469750621562571,3.593761772018383,3.5410231296617187
2024-09-17,50.316360349502865,12.978306718891233,10.545344983428743,8.12744802651401,0.0,5.430852666465803,5.468514612835191,3.5929496836396506,3.5402229587225067
2024-09-19,50.331425128050626,12.978306718891233,10.545344983428743,8.12744802651401,0.0,5.4007231093702925,5.483579391382946,3.5929496836396506,3.5402229587225067
2024-09-20,50.3653483992467,12.979284369114877,10.508474576271185,8.128060263653484,0.0,5.401129943502825,5.483992467043315,3.593220338983051,3.540489642184558
2024-09-25,50.34732709151314,13.0096647538508,10.38961038961039,8.147085472666868,0.0,5.443974630021142,5.511929930534581,3.601630927212322,3.5487768045907577
2024-09-26,50.39298669891173,13.021463119709795,10.29322853688029,8.15447400241838,0.0,5.448911729141475,5.532043530834341,3.6048972188633615,3.551995163240629
2024-09-27,50.42321644498187,13.021463119709795,10.29322853688029,8.15447400241838,0.0,5.418681983071342,5.532043530834341,3.6048972188633615,3.551995163240629
2024-09-30,50.42321644498187,13.021463119709795,10.29322853688029,8.15447400241838,0.0,5.38845223700121,5.562273276904474,3.6048972188633615,3.551995163240629
2024-10-02,50.43070878041408,13.019495239534532,10.291672963578662,8.153241650294696,0.0,5.387637902372677,5.561432673416957,3.6043524255704997,3.5514583648178935
2024-10-03,50.385371014054705,13.019495239534532,10.291672963578662,8.198579416654074,0.0,5.387637902372677,5.561432673416957,3.6043524255704997,3.5514583648178935
