date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,CITIC SECURITIES BROKERAGE (HK) LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD
2024-10-10,49.375091388927146,10.344894736518329,3.9305363707818537,2.4888931162429295,5.996722538721695,2.6612455583206867,2.103092861560622,0.6858250982741512,1.9351505592647433
2024-10-14,49.49651740163476,10.301927152910178,3.9425559371215786,2.5076322826623434,6.013758144557526,2.5770139516879684,2.1220213124893235,0.0,1.9344880634822388
2024-10-15,49.32256493759999,10.323505586968897,3.9197471537524944,2.50025018680015,6.014704567103961,2.497893026805999,2.112557087024973,0.6856358137648642,0.0
2024-10-16,49.289724075238695,10.33599836458184,4.127932667714356,2.480848524598232,6.0141367135761,2.4789645758772982,2.1100963884042416,0.0,0.0
2024-10-17,49.31139715155206,0.0,4.026589741442092,2.4856752795850507,6.015272420631822,2.4600361249485974,2.21836712771641,0.0,0.0
2024-10-18,49.32502563622073,10.337417998401492,4.037000389452878,2.488230620460425,6.053129322489224,2.450571899484247,0.0,0.0,0.0
2024-10-21,49.30950430645919,0.0,4.038893234545748,2.4898395387893646,6.052561468961363,0.0,0.0,0.0,0.0
2024-10-22,49.18031762887081,10.450988703973698,4.218548083707288,2.4861484908582683,6.038270488510194,2.45038261497496,2.21458143753067,0.6854465292555771,0.0
2024-10-23,49.20918351653708,10.440578055962911,4.209178500497582,2.4898395387893646,0.0,2.45227546006783,0.0,0.0,0.0
2024-10-24,48.42847955798281,10.595507426814327,4.497500072164719,2.509998339028431,0.0,2.454073662906057,2.21647428262354,0.0,1.9310809423150725
2024-10-25,48.38248342222607,10.59749491416184,4.493434051620724,2.5522087845994337,6.04357045477023,2.4474487050810114,2.2230992404485854,0.0,1.9315541535882903
2024-10-28,48.424883152306364,0.0,4.4129502782718895,2.537066023856473,6.04167760967736,2.432305944338051,2.2287777757271954,0.0,0.0
2024-10-29,48.39961367031654,10.599577043763999,4.417493106494778,2.5280750096653404,6.03978476458449,2.4228417188737006,0.0,0.0,1.9318380803522206
2024-10-30,48.29153221551367,0.0,4.581651043596481,2.4961805698504795,6.008931389570708,2.391893701605275,2.2284938489632653,0.6852572447462901,0.0
2024-10-31,48.220929093549614,10.598772584599528,4.584111742217212,2.5125536799038053,6.02899554755513,2.350251109562133,2.232279539149005,0.6909357800249004,0.0
2024-11-01,48.24402180368263,10.599813649400607,4.5864777985833,2.5188947109649202,6.027859840499408,2.3218584331690817,2.2379580744276155,0.0,0.0
