date,KOALA SECURITIES LTD,SUPREME CHINA SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD
2024-09-03,51.024749180911755,12.932879324570102,8.369737255185695,8.140192258665133,7.868071131420849,6.78032722540321,2.40423475840662,0.6660768755187715,1.813731989917863,0.0
2024-09-05,51.040598580644726,12.936896558900573,8.372337078086284,8.14272077988438,7.851877817533917,6.782433342890131,2.404981566148933,0.6662837735206715,1.8018705023903903,0.0
2024-09-12,51.03861686722738,12.936394268131998,8.37201201190008,8.142404628830672,7.851572958812526,6.782170006653261,2.404888189809888,0.6662579042415003,1.8056831643926927,0.0
2024-09-13,51.037824224947535,12.936193362745549,8.333056377278131,8.142278175283055,7.851451021952313,6.794488874752915,2.4296992350421984,0.6662475570922907,1.8087611709060099,0.0
2024-09-16,51.07589884629874,12.945843865514664,8.33927290337581,8.14835237933011,7.857308266638152,6.569538507064074,2.4315118099271276,0.8221629007772159,1.8101105210741022,0.0
2024-09-25,51.075901227737944,12.945844469121075,8.339273292198559,8.148348096701344,7.85730863298906,6.569538813372075,2.4315119232975753,0.8221629391109702,1.8101106054714058,0.0
2024-09-26,51.069551512415366,13.124497896107282,8.338236560390998,8.134903180282564,7.850115858504047,6.550074213125103,2.4312096396736886,0.691525565536989,1.8098855739639663,0.0
2024-09-27,51.06637724676094,13.16097557594944,8.337718291145462,8.134397549373293,7.849627928760884,6.5248047933013265,2.4248429522626687,0.6914825832552411,1.8097730791907451,0.0
2024-09-30,51.06647643658972,13.1610011394412,8.337734486084173,8.134219112329808,7.849643175647235,6.5248174668901955,2.4248476622062793,0.6914839263706671,1.8097765944407305,0.0
2024-10-02,51.06786513465299,13.161359038753398,8.33796122183218,8.132886374975172,7.84985663827548,6.524994902304028,2.4249136033380596,0.6915027305345012,1.8086603553341944,0.0
2024-10-03,51.08175627047269,13.164939102762283,8.340229257738645,8.132767085688307,7.845774457620351,6.51433489605721,2.4255732119613334,0.6854733827887612,1.8091523349104195,0.0
2024-10-04,51.148340038043095,13.182099265397559,8.351100534040125,8.143367940335326,7.72604286988389,6.522437068717246,2.428734884831684,0.6863668798751503,1.8115105188759295,0.0
2024-10-07,51.18584951392952,13.210456663099096,8.357224787610692,8.120525570044657,7.712239628680137,6.527089445206354,2.430515989996179,0.6432594169596326,1.8128389844737425,0.0
2024-10-08,51.191829470293584,13.218230861715655,8.35820114807026,8.109791446198662,7.713140636612733,6.527851994044311,2.430799943075016,0.6371037245987212,1.81305077539106,0.0
2024-10-09,51.19462059479508,13.21895155735022,8.353983473781081,8.110233615151047,7.713561179032044,6.527429013272856,2.430932477218639,0.6371384613103044,1.8131496280887271,0.0
2024-10-16,51.191490568754304,13.224374156047602,8.353472713363027,8.10962092999923,7.713089573869686,6.527029927928468,2.4307838506272383,0.6370995068273467,1.813038772583094,0.0
2024-10-17,51.191490568754304,13.224374156047602,8.353472713363027,8.109231504872806,7.713089573869686,6.527029927928468,2.431173275753661,0.6370995068273467,1.813038772583094,0.0
2024-10-23,51.191689922057506,13.224425655283929,8.353505244011385,8.109263084380824,7.713119610695482,6.526665919279054,2.4311827433901327,0.6371019878625684,1.8130458330391217,0.0
2024-10-24,51.192487350797236,13.224631656240332,8.353635369138514,8.109389404872516,7.71168202950146,6.526767587166685,2.4312206146734225,0.6371119121966944,1.8130740754131458,0.0
2024-10-28,51.19264683952641,13.22467285720176,8.35366139465042,8.109103122305166,7.71170605502611,6.526787921124303,2.431228189071665,0.6371138971006224,1.8130797239935363,0.0
2024-10-30,51.193843036672305,13.224981872595649,8.353856591158806,8.109292604322789,7.709549593099804,6.526940429845088,2.4312849985628775,0.6371287842743157,1.8131220894683657,0.0
2024-11-05,51.19543805316166,13.22539391558572,8.354116867360437,8.106429619541414,7.709789795006851,6.527143785893258,2.431360748681114,0.6371486349215122,1.8131785798480355,0.0
2024-11-07,51.19783076426061,13.22601202821476,8.35450731207408,8.106808488144969,7.706255392356005,6.5274488437260425,2.431474382709265,0.6371784132116965,1.812484375302572,0.0
2024-11-08,51.19783076426061,13.22601202821476,8.35450731207408,8.11304006186831,7.706255392356005,6.5274488437260425,2.425242808985923,0.6371784132116965,1.812484375302572,0.0
2024-11-11,50.43928150188562,13.030054865217755,8.230726572451335,7.992836911408954,7.592079181053991,6.430737880943313,2.4200065395253283,0.6277379504395824,1.7848631230444965,1.451675474029637
2024-11-12,50.43618510017775,13.029254967143542,8.23022129888167,7.992346241575323,7.591613113214751,6.4303431063318515,2.4259968480588032,0.6276994144255086,1.784753552625214,1.4515863575655799
2024-11-14,50.43617735964988,13.029252967521426,8.230220035775485,7.9923603621478225,7.591611948116861,6.430342119456061,2.4259964757369046,0.6276993180914024,1.7847532787160236,1.4515861347881307
2024-11-18,50.32033613466995,12.999327530992632,8.21131696221382,7.974003601915375,7.8038544579728,6.415572984538358,2.420424475274966,0.6262576256053071,1.7806540781636275,1.4482521486531648
2024-11-21,50.32149191283776,12.999626104891588,8.211505563117608,7.97418675210834,7.801736858998732,6.4157203400562075,2.4204800685793884,0.6262720097479162,1.7806949769585496,1.448285412703914
2024-11-22,50.32122222651644,12.999556436421727,8.211461555465139,7.974679943031296,7.80169504740624,6.415685956496593,2.420467096579936,0.6262686533888729,1.7806854337383573,1.448277650955398
2024-11-26,50.32180012931601,12.999705726914392,8.211555858155165,7.9659669149342545,7.801784644224635,6.415759636004191,2.428151077823793,0.6262758456308746,1.7807058836211656,1.4482942833755184
2024-12-06,50.31640688599324,13.010561063725604,8.210675783939065,7.965113161734587,7.799417414598222,6.415072026405001,2.4278908405200097,0.626208724462435,1.7805150363126039,1.4481390623092378
2024-12-10,50.322575310447725,13.01215606360733,8.21168235289794,7.9660804389449735,7.788123483286599,6.415858467441117,2.4281884822269673,0.6262854930842157,1.7807333144682056,1.4483165935949216
2024-12-13,50.32258455728529,13.012158454607645,8.211683861805072,7.9660635275945735,7.788124914364247,6.415859646363314,2.4281889284097056,0.6262856081649758,1.780733641680229,1.4483168597249476
2024-12-17,50.32264235009703,13.012173398379524,8.211693292487213,7.965957831513758,7.788133858611467,6.415867014636863,2.4281917170555363,0.6262863274206851,1.7807356867581003,1.4483185230398261
2024-12-18,50.325724825732806,13.012970449281383,8.212196293588121,7.966445780273691,7.78861091489759,6.416260013748823,2.4283404541141898,0.6263246901189684,1.7747193395419925,1.4484072387024312
2024-12-20,50.32611016173956,13.013070087509867,8.212259173058559,7.966506778071847,7.787904867074737,6.416309142023089,2.428359047527734,0.626329485786708,1.7747329282834516,1.4484183289244486
2024-12-27,50.32919306223938,13.013867248270913,8.212762243489156,7.966994794086775,7.788381942209893,6.416702195302937,2.422381958106466,0.6263678537726021,1.7748416457069534,1.4485070568149183
2025-01-02,50.31686372593012,13.035176576310665,8.210750331484071,7.96504308868055,7.786473992282068,6.415130271046879,2.421788537866366,0.6262144100264858,1.7744068559117236,1.4481522104610784
2025-01-06,50.311918736903024,13.036473974381115,8.211567551839675,7.96583585366335,7.787248984187553,6.415768772381067,2.4220295797699936,0.626276737480395,1.7745834635715878,1.4482963458222358
