date,SPDB INTERNATIONAL SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,ORIENT SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,GUOYUAN SECURITIES BROKERAGE (HONG KONG),FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,CHINA INDUSTRIAL SECURITIES,BANK OF CHINA (HONG KONG) LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD,TOTAL_CCASS_PCT
2024-10-18,53.89492753623188,11.763043478260869,5.138405797101449,2.453804347826087,0.7702898550724637,6.0694057971014495,1.733695652173913,1.663768115942029,1.588858695652174,1.4561594202898551,86.53235869565218
2024-10-21,53.89492753623188,11.763043478260869,5.138405797101449,2.453804347826087,0.7702898550724637,6.05636231884058,1.7489130434782607,1.6677536231884056,1.588858695652174,1.4561594202898551,86.53851811594203
2024-10-22,53.89492753623188,11.763043478260869,5.138405797101449,2.453804347826087,0.7702898550724637,6.036072463768116,1.7489130434782607,1.6869565217391307,1.588496376811594,1.4561594202898551,86.5370688405797
2024-10-23,53.89492753623188,11.763043478260869,5.138405797101449,2.453804347826087,0.7702898550724637,6.0346231884057975,1.7489130434782607,1.6902173913043477,1.588496376811594,1.4561594202898551,86.53888043478261
2024-10-24,53.89492753623188,11.763043478260869,5.138405797101449,2.453804347826087,0.7702898550724637,6.033898550724637,1.7489130434782607,1.6923913043478263,1.588496376811594,1.4561594202898551,86.54032971014493
2024-10-28,53.89492753623188,11.763043478260869,5.138405797101449,2.453804347826087,0.7702898550724637,6.031724637681159,1.7489130434782607,1.7003623188405796,1.588496376811594,1.4561594202898551,86.5461268115942
2024-10-31,53.89492753623188,11.762318840579711,5.138405797101449,2.453804347826087,0.7702898550724637,6.031724637681159,1.7489130434782607,1.7021739130434783,1.588496376811594,1.4561594202898551,86.54721376811594
2024-11-01,53.89492753623188,11.762318840579711,5.138405797101449,2.453804347826087,0.7702898550724637,6.335347826086957,1.7489130434782607,1.7021739130434783,1.588496376811594,1.4561594202898551,86.85083695652173
2024-11-06,53.89492753623188,11.751449275362319,5.138405797101449,2.4664855072463765,0.7702898550724637,6.335347826086957,1.7489130434782607,1.7021739130434783,1.588496376811594,1.4561594202898551,86.85264855072464
2024-11-07,53.89492753623188,11.751086956521739,5.138405797101449,2.4701086956521743,0.7702898550724637,6.333898550724637,1.7489130434782607,1.71231884057971,1.588496376811594,1.4561594202898551,86.86460507246376
