date,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CITIBANK N.A.,DL SECURITIES (HK) LTD,BOCOM INTERNATIONAL SECURITIES LTD,KINGSTON SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2025-02-07,443732535.0,338718506.0,67642000.0,0.0,62166249.0,0.0,0.0,0.0,14553161.0
2025-02-10,443944535.0,338964506.0,67286000.0,0.0,62072654.0,0.0,0.0,0.0,14549161.0
2025-02-11,444904390.0,338830506.0,67008000.0,0.0,62155843.0,0.0,0.0,0.0,14589161.0
2025-02-12,445773132.0,338988506.0,65572000.0,0.0,61885101.0,0.0,37740800.0,0.0,14909161.0
2025-02-13,445779732.0,338930506.0,65488000.0,0.0,61834101.0,0.0,0.0,0.0,15027161.0
2025-02-14,446177787.0,339225764.0,64398000.0,0.0,62039242.0,0.0,37760800.0,0.0,14763161.0
2025-02-17,445729787.0,0.0,65286000.0,80358400.0,61943242.0,18210000.0,37740800.0,0.0,14585161.0
2025-02-18,446295787.0,339431764.0,66726000.0,80192400.0,61573711.0,18024000.0,37750800.0,0.0,14483161.0
2025-02-19,444383785.0,337778861.0,72696000.0,80270400.0,60966711.0,14014000.0,0.0,0.0,14479161.0
2025-02-20,444479785.0,338919770.0,72964000.0,80320400.0,60676006.0,0.0,37760800.0,0.0,14517161.0
2025-02-21,443938379.0,338721770.0,73274000.0,80336400.0,60990527.0,0.0,0.0,0.0,14525161.0
2025-02-24,442064379.0,338765770.0,78976000.0,80670400.0,59487708.0,13864000.0,0.0,0.0,13328161.0
2025-02-25,435087669.0,338405770.0,97806000.0,80456400.0,56557923.0,12392000.0,0.0,252473998.0,13276161.0
2025-02-26,432642629.0,331996861.0,119600000.0,80706400.0,51210964.0,11074000.0,0.0,0.0,13230161.0
2025-02-27,428888332.0,332513769.0,125044000.0,0.0,48152613.0,11290000.0,0.0,252483998.0,0.0
2025-02-28,426125045.0,330301769.0,125886000.0,81388400.0,47346213.0,0.0,37790800.0,0.0,13244161.0
2025-03-03,427321200.0,330301772.0,119456000.0,81052400.0,50127707.0,0.0,37800800.0,0.0,13944161.0
2025-03-04,428832818.0,330401772.0,117250000.0,80932400.0,49731980.0,0.0,37790800.0,0.0,13980161.0
2025-03-05,433930326.0,330134771.0,119142000.0,80968400.0,48975773.0,0.0,0.0,0.0,13982161.0
2025-03-06,433781357.0,329671770.0,118770000.0,80978400.0,50681055.0,0.0,0.0,0.0,13978161.0
2025-03-07,431836914.0,325277369.0,127666000.0,81034400.0,48029239.0,0.0,37748800.0,0.0,13968156.0
2025-03-10,430654170.0,323343838.0,129892000.0,81058400.0,47255602.0,0.0,0.0,0.0,13878156.0
2025-03-11,431335134.0,323671838.0,131390000.0,80878400.0,47771037.0,0.0,0.0,0.0,13880156.0
2025-03-12,433418833.0,324309836.0,131872000.0,80822400.0,45752298.0,0.0,0.0,0.0,13890156.0
2025-03-13,433175403.0,323733835.0,130716000.0,80792400.0,45799658.0,0.0,0.0,0.0,13892156.0
2025-03-14,433750099.0,323840790.0,130152000.0,0.0,46302758.0,0.0,37724800.0,0.0,13970156.0
2025-03-17,435907448.0,323954790.0,125354000.0,80566400.0,49236410.0,0.0,37726800.0,0.0,14718156.0
2025-03-18,436611730.0,324084790.0,125568000.0,80516400.0,47613510.0,0.0,37746800.0,0.0,14698156.0
2025-03-19,435651856.0,325170790.0,122900000.0,80386400.0,50723362.0,0.0,37696800.0,0.0,14598156.0
2025-03-20,435549590.0,324944790.0,124066000.0,80690400.0,50307662.0,0.0,0.0,0.0,14078156.0
2025-03-21,436807468.0,324272790.0,125302000.0,80718400.0,47892048.0,0.0,0.0,0.0,14098556.0
2025-03-24,435483365.0,324017790.0,126166000.0,0.0,49594614.0,11952000.0,0.0,0.0,14100556.0
