date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,MORGAN STANLEY HONG KONG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,BOCI SECURITIES LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CMB WING LUNG BANK LTD
2025-01-03,599675277.0,222890527.0,207356713.0,41801004.0,15489500.0,28770600.0,22900967.0,74170000.0,41655500.0
2025-01-06,600425777.0,223891027.0,208687617.0,41145504.0,15394500.0,28159100.0,22902467.0,74018500.0,41645000.0
2025-01-07,600526104.0,221866527.0,210953614.0,41138504.0,15256500.0,28674977.0,22903967.0,74015000.0,0.0
2025-01-08,600065604.0,222177162.0,210882237.0,41176504.0,15233500.0,28690600.0,22883967.0,0.0,0.0
2025-01-09,600058604.0,222691662.0,211650337.0,41238004.0,0.0,28349100.0,22878967.0,0.0,0.0
2025-01-10,598574031.0,222642162.0,213540765.0,41224504.0,15223500.0,27535600.0,22858967.0,0.0,41640000.0
2025-01-13,594359637.0,227339162.0,215833322.0,40972004.0,15199500.0,27780600.0,22779967.0,0.0,0.0
2025-01-14,593866222.0,227725662.0,216365822.0,40954004.0,15201000.0,27593100.0,22755467.0,74011000.0,0.0
2025-01-15,593836050.0,227834662.0,217002178.0,40858004.0,15220000.0,27557100.0,0.0,0.0,0.0
2025-01-16,591795550.0,228458162.0,216505863.0,40938004.0,15235500.0,28212100.0,22768467.0,0.0,0.0
2025-01-17,590882439.0,229566162.0,217870434.0,40932004.0,15215500.0,29182100.0,22764467.0,73761000.0,41631000.0
2025-01-20,586703499.0,230205162.0,220727529.0,41083504.0,15233500.0,29530800.0,0.0,0.0,0.0
2025-01-21,585265999.0,231777320.0,221212894.0,41119004.0,15258500.0,29434800.0,0.0,0.0,0.0
2025-01-22,582374791.0,233736527.0,221424086.0,40965504.0,15255500.0,29556800.0,0.0,0.0,0.0
2025-01-23,580233071.0,233425027.0,222581071.0,41312504.0,15287500.0,29660300.0,22784467.0,0.0,0.0
2025-01-24,575774071.0,237444527.0,223329630.0,40938004.0,15283500.0,30314800.0,22773967.0,0.0,41640000.0
2025-01-27,574561571.0,238318527.0,224283228.0,41063004.0,0.0,30411800.0,0.0,0.0,41642500.0
2025-02-03,572678871.0,239155527.0,224705729.0,41425004.0,14991500.0,30321800.0,0.0,0.0,0.0
2025-02-04,567718872.0,241757527.0,228956848.0,41085505.0,14970000.0,30378798.0,22787967.0,0.0,0.0
2025-02-05,568357644.0,0.0,228665771.0,40971005.0,14831000.0,0.0,22790467.0,0.0,0.0
