date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,CHINA MERCHANTS BANK CO LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,HANG SENG SECURITIES LTD,NANYANG COMMERCIAL BANK LTD
2024-11-01,35.24410844978776,24.972199057332553,16.485110378012852,7.599656298517744,2.4021272342961435,3.2234006710212766,4.138264455217736,2.944145061726268,1.8607742460758698,1.1302141480117984
2024-11-04,35.2280744469413,24.96970034262384,16.483460880198034,7.615155605018646,2.405639122485195,3.2230781380056515,4.137850381061149,2.94635196745455,1.8605880572677642,1.1301010589438656
2024-11-05,35.20936960563464,24.969562927822253,16.483370167395105,7.600104800618339,2.4431481241336828,3.2226851781572927,4.139078350736984,2.9463357529079017,1.856250252892084,1.1300948397017179
2024-11-06,35.196380413487574,24.96736065874579,16.490176399409258,7.625765638860946,2.4153780074151716,3.219010842245187,4.150797500983416,2.9488035971539626,1.8557654688024974,1.1305614728961977
2024-11-07,35.098955252893596,24.951351150881717,16.48999899481286,7.625683599357994,2.3490360723295054,3.1826901256545232,4.2370887052719794,2.947520628999528,1.9608500285874921,1.1568254412108072
2024-11-08,34.947500394726475,24.903688959276646,16.47327022572167,7.62919727300709,2.5253994446598673,3.1598617435177214,4.248289954545473,2.970779903699803,1.958860786055639,1.183151314789617
2024-11-11,34.911298103317954,24.857962167901736,16.456205482251406,7.424002689956666,2.7350589913637724,3.146499091463465,4.243889129617074,2.9677024578576234,2.0754562038776974,1.1819256823926043
2024-11-12,34.75049826295543,24.793892868008506,16.42134696605376,7.544094549691111,2.493590348755441,3.8500739923674,3.985692451886364,2.993813005881292,1.9427182341529583,1.2242793202477344
2024-11-13,34.73028498754935,24.79813999088211,16.42453959227775,7.559270317824341,2.485351209337374,3.818419309925889,4.0487812145973505,3.0000033088663542,1.9106927250049217,1.2245173437345647
2024-11-14,34.746307295738646,24.773421532838693,16.432116813003383,7.562757676444111,2.5189159494559243,3.7765410513058337,4.050649060497105,3.0013873164436258,1.912821047400443,1.2250822568722337
2024-11-15,34.74682718567454,24.76755784918576,16.432362677753378,7.53793341475941,2.6162095730225703,3.688069719886637,4.049213422992249,3.0014322245556233,1.935293345063812,1.2251005871060214
2024-11-18,34.686263642314344,24.665776680749655,16.420219610693966,7.594660565434458,2.7388712206666797,3.6703929425231077,4.0902156435283015,2.9742952571379155,1.9351091657076336,1.2241952712439335
2024-11-19,34.67891756955725,24.654655290166133,16.42028098721911,7.577245594326169,2.8049170311928937,3.6704066619476983,4.092722840607639,2.9743063746449865,1.9023478032204464,1.2241998471176807
2024-11-20,34.660746484878565,24.61515278776174,16.420526497908078,7.5773588868324175,2.8510599643553336,3.6729534863450692,4.092784033665488,2.983072655361178,1.9021270519373745,1.224218150954755
2024-11-21,34.65901911702393,24.611434234947232,16.419708157494057,7.57698125831914,2.8571474314151524,3.6727704394569516,4.092580063921824,2.9829239896705775,1.9032781674581656,1.2241571402929696
2024-11-22,34.62370223582687,24.611127602264744,16.419503585135132,7.574395066633685,2.8895051100485856,3.651544461860883,4.067611170280405,2.982886825563201,1.9555820538088065,1.2241418885776842
2024-11-25,34.61248917885494,24.60988170704564,16.419503585135132,7.574395066633685,2.899472271801411,3.647806776203573,4.067611170280405,2.982886825563201,1.9618115299043226,1.2241418885776842
2024-11-26,34.59985658264145,24.589763657188854,16.415638125938862,7.527770243097212,3.0495075129818345,3.6432112083146317,4.0130926960812365,2.982184598041429,1.9800337113438267,1.198941664370659
2024-11-27,34.585789570864414,24.576130620931934,16.41901263227095,7.524957198082379,3.133606873493084,3.6551728524210283,3.889331857149452,2.9827976354836747,2.03401263261356,1.1991881266895275
2024-11-28,34.59009900590388,24.574208786445258,16.421058462920733,7.495990500843916,3.168885694692513,3.6568743049855175,3.8898164730334117,2.98316929600684,2.0205599280546993,1.1993375471132388
2024-11-29,34.5730255425669,24.54541454213175,16.42597053719414,7.495740024286951,3.20597880359951,3.679156756106884,3.8810089566351986,2.984061659260112,2.0099468701202237,1.1996963080983245
2024-12-02,34.54978210134576,24.54339628116863,16.427956667868724,7.4941532913338165,3.2225714276863875,3.6796016178624407,3.8802316885280415,2.9844224742501835,2.018043081714534,1.1998413682414864
2024-12-03,34.52188784300039,24.528290610710044,16.425704391226276,7.449503040643182,3.3230852365280907,3.6703725835235326,3.879699707869945,2.9840133092416656,2.0177664075432844,1.1996768697135827
2024-12-04,34.44585685336005,24.47318870403404,16.39138664402506,7.4339390102652825,3.5325569527981786,3.6555152378442766,3.8715939639322654,2.9902165142292594,2.008575699844672,1.1971704196669128
2024-12-05,34.41474699055278,24.451019489122604,16.384865406069032,7.426008384107162,3.578395683780109,3.6341686373327824,3.8949190062271697,2.989026870311217,2.0301554015878622,1.1966941309092796
2024-12-06,34.41480689205962,24.439872626337475,16.384893925184034,7.42602130964435,3.614456715378964,3.6105528504886943,3.894751727962184,2.989032072941751,2.0289156661557226,1.196696213847204
2024-12-09,34.35340927777473,24.408615754933734,16.363938802781657,7.415282273716431,3.761318920891779,3.6195936775517157,3.8897706155082994,2.9852093119742937,2.0076956409796365,1.1951657238877245
2024-12-10,34.23940953867241,24.410279683433533,16.365487238761947,7.4085331649357915,3.875920114559702,3.5587404490248025,3.8901386846418204,2.985491787090039,2.070720522561881,1.195278816318073
2024-12-11,34.23643351080809,24.353523688372846,16.364064780060353,7.514674446358846,3.7911484031856935,3.558431129708819,3.8898005607875383,3.0075826879382737,2.0891658679453142,1.1951749248342267
2024-12-12,34.272606028764905,24.268627370660624,16.38135423945794,7.496511068549531,3.8647619697885873,3.5497607867318,3.8417043107809974,3.0120033511541693,2.1162331867170754,1.1964376873943647
2024-12-13,34.27345806726531,24.267987672584265,16.38176149020768,7.496697436520609,3.8760453326834603,3.5498490360133106,3.8293695040882154,3.0120782314482555,2.1162857976025564,1.1964674315863337
2024-12-16,34.24706455803962,24.224457752813493,16.369146125508376,7.499618854022273,3.892933630892068,3.552083643657796,3.7978528549909547,3.009758672259503,2.2115378590130703,1.1955460488028444
2024-12-17,34.254826034727884,24.218916993679382,16.374637524267943,7.499649788428972,3.943939236284251,3.5706701417147144,3.7121525723073283,3.0157383269089415,2.213522260027698,1.195947121652892
2024-12-18,34.2552426599927,24.21913212839145,16.375858335494964,7.445535252549466,3.9914514482599155,3.574664103440649,3.7124293318710118,3.015963165303183,2.213687289196881,1.1960362854997786
2024-12-19,34.24903018803395,24.22228388349678,16.378829736686757,7.446140560335195,4.005846595756505,3.569098681968196,3.704403290055765,3.0165104121320323,2.2116033451271133,1.196253306407712
2024-12-20,34.227451807837554,24.206671342013237,16.368759832453865,7.4856551739616375,4.026982604286447,3.5619361772404936,3.702125777744411,3.0146558247496595,2.2102436244239496,1.1955178352887457
2024-12-23,34.21436886793605,24.200755844210462,16.364759721845726,7.559572089239006,3.980054083173559,3.5610657301917286,3.701221071905495,3.0132734136858756,2.2097034968236224,1.1952256809884743
2024-12-27,34.1916653933368,24.19625409977913,16.365779889507067,7.684225219645599,3.9256621732884383,3.5188423606941575,3.7014518034352717,3.013461259040386,2.2098412481922303,1.1928165530809234
2024-12-30,34.1764180724239,24.160275021671257,16.35907593728388,7.68107751271733,3.9339845754691454,3.482644248309598,3.6999355691822022,3.012226847943363,2.302034278118603,1.1923279368807256
