date,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,CHINA INTERNATIONAL CAPITAL CORPORATION,CITIC SECURITIES BROKERAGE (HK) LTD,CMB INTERNATIONAL SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,MORGAN STANLEY HONG KONG SECURITIES LTD
2024-10-15,6.262629029460053,1.1118839452785034,2.4938650233367037,0.06805352261268947,0.0,0.0,0.0,0.0,1.628643834082445
2024-10-16,6.206213105235528,1.1704993649410427,2.4956336897713953,0.06764536882006832,0.0,0.0,0.0,0.0,1.628530458028939
2024-10-17,6.208344575041439,1.1682998695030287,2.5291023007663305,0.05816713074697688,0.0,0.0,0.0,0.0,1.628394406764732
2024-10-18,0.0,0.4891092833707136,2.524045728779968,0.05818980595767805,0.0,0.0,0.0,0.0,1.628258355500525
2024-10-21,0.0,0.4968188550091133,2.53141517225785,0.05741884879383809,0.0,0.0,0.0,1.3934597232193489,1.628281030711226
2024-10-22,6.203809532901204,0.5077709817777812,2.5057921841655215,0.054901900406007585,0.0,0.0,0.18171913855922187,0.0,1.628144979447019
2024-10-23,6.203786857690503,0.516387561844228,2.5050212270016816,0.0553554046200311,0.0,0.0,0.0,0.0,1.6280089281828118
2024-10-24,0.0,0.5175213223792867,2.4924591602732304,0.057600250479447494,0.0,0.0,0.0,0.0,1.6278728769186048
2024-10-25,6.20643985734254,0.5191312623390701,2.466450693598982,0.06807619782339065,0.0,0.0,0.0,0.0,1.6277368256543978
2024-10-28,6.163991862909939,0.5343236535088579,2.398289010231248,0.06757144763318249,0.0,0.0,0.17967836959611605,1.3939812530654758,1.6276007743901908
2024-10-29,6.154445599204744,0.5260245263922275,2.445952303125119,0.0680866284203132,0.0,0.7598744278576663,0.0,1.3952283896540405,1.62739669749388
2024-10-30,6.15784688080992,0.5314665769605098,2.4019170439434356,0.06230444969151339,0.0,0.0,0.0,0.0,0.0
2024-10-31,6.147144181358966,0.5366818754217801,2.4509861999007803,0.06346088543727335,0.0,0.0,0.0,1.3948202358614195,1.6306619278348495
2024-11-01,6.146214497720217,0.5437792163712482,2.4642058477395654,0.05445882678890661,0.0,0.0,0.0,1.3956138682359607,1.6309567055739647
