date,GET NICE SECURITIES LTD,PRUDENTIAL BROKERAGE LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,BNP PARIBAS,STANDARD CHARTERED BANK (HONG KONG) LTD,GLOBAL MASTERMIND SECURITIES LTD
2024-11-07,30.152877901195414,22.83244494305822,13.826140471861246,9.037948077507028,4.270844030846492,5.428359151580608,1.6775059227628948,4.522275594724318,4.71722514179893,3.5343787646648512
2024-11-08,29.845979593442912,22.25523071790932,13.685416951954895,9.76463525974715,5.1009109037741185,5.5372661155232175,1.9769306355564116,4.476247526300497,3.8589767097196055,3.498405586071872
2024-11-11,29.803218139131033,22.223344814196068,13.665809341827782,9.582087747165655,4.979826423851371,5.364989247094335,2.564048949898223,4.46983423859167,3.8534478090599156,3.4933932891839485
2024-11-12,29.72405684711626,22.16431666897467,13.629511143462878,9.22798210220688,5.189344622456212,5.348217480923233,2.9312824517278417,4.457961767244215,3.843212541651791,3.4841143742360208
2024-11-13,29.77689915319995,22.203719554374263,13.653741173815678,9.189654497327988,5.1597308326916265,5.121953437575389,3.088061226594902,4.465886963371571,3.850044859814658,3.4903083012339713
2024-11-14,29.70935449682997,22.153353577725063,13.622769605856059,9.21081569720282,5.219437976591389,5.1145356776949455,3.1902736185386993,4.455756734606778,3.841311581183889,3.4823910337703845
2024-11-15,29.829035668430333,22.24259615320216,13.677647574579499,9.199984330831086,5.098331373534413,5.048895381794197,3.0765977908732456,4.473706306228094,3.8567859217848333,3.496419498742139
2024-11-18,29.851000278590856,22.0901468949478,13.687719110254607,8.993840975228544,5.127409668859278,5.457799360847431,2.939580478792861,4.477000519828603,3.876508625439751,3.4989940872102743
2024-11-19,29.21570470626383,21.442392355958088,13.396414052975262,9.120509436678347,6.658240089263678,5.342471443831549,3.0629085672537073,4.385850871440501,3.9509807530809966,3.4245277232540423
2024-11-20,29.202749248503718,21.432883907976553,13.390473526188545,8.99994207793357,6.915416589722148,5.290553981210557,3.012001957557742,4.383906002874831,3.9490635627045507,3.4230091453277858
2024-11-21,28.68641752389383,21.05393061774358,13.153717519749385,9.274809662200015,7.125739838639716,5.622559909205991,3.6563836559850293,4.306394473815354,3.75755963376118,3.362487165005914
2024-11-22,28.637632416352094,21.01812557974929,13.13134785566567,9.425050909502094,7.012393324368722,5.774963168511171,3.5934776720029094,4.299070871370147,3.751169398707435,3.356768803770465
