date,KINGSWAY FINANCIAL SERVICES GROUP LTD,CITIBANK N.A.,RAFFAELLO SECURITIES (HK) LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,HANG SENG BANK LTD,ZHESHANG INTERNATIONAL FINANCIAL
2024-12-12,59.3911197073401,12.917966108190141,4.923750282802486,6.593704129766988,4.3631819325316545,2.9862483522574013,2.6484738521467577,6.17555563496447,0.0
2024-12-13,59.37150569774751,12.924708314947036,4.922124206618802,6.591526548729801,4.361740984916916,3.0072789093816708,2.647599189540669,6.173516148117602,0.0
2024-12-16,59.36170355031699,12.917071180959033,4.921311571221105,6.590438297484301,4.289478178076249,3.089331669653941,2.658168642519835,6.172496909768544,0.0
2024-12-17,59.31938728431747,12.929860629974327,4.917803391417308,6.585534046913892,4.2864204036404345,3.131124311593453,2.6617731154563575,6.168096816686754,0.0
2024-12-18,59.322649650855254,12.930571728766619,4.918073854042732,6.552898249657928,4.2866561423277645,3.158794829095627,2.6619195040139707,6.1684360412401045,0.0
2024-12-19,59.30308083242822,12.926306308867016,4.916451524378989,6.468268902986413,4.285242099020495,3.256714117593988,2.677534961303252,6.166401253421621,0.0
2024-12-20,59.332438903853955,12.998712343883142,4.918885420442866,6.471471028369937,4.287363513993438,3.137313801209867,2.6843610494351973,6.169453938811595,0.0
2024-12-23,59.345496267962936,13.012576549377949,4.919967925715389,6.4453863066110255,4.2883070394493945,3.1325024524877856,2.6849518001319495,6.170811658263567,0.0
2024-12-27,59.35202710541745,13.014008553955428,4.920509357042531,6.446095606776112,4.288778957926633,3.1328471772879745,2.6742424994833947,6.171490742110478,0.0
2024-12-30,59.33937491302925,13.154265890111658,4.9194604420505845,6.444033827733836,4.287864710189318,3.0001502106428517,2.684674853371335,6.170175152871167,0.0
2025-01-02,59.34999831013723,13.127734326227092,4.92034116217798,6.445166855619047,4.288632357129119,3.0006873209025735,2.6961598821186947,6.171279785688261,0.0
2025-01-03,59.34346791913004,13.126289857134765,4.919799767863023,6.444457681889102,4.2881604709121754,3.01136033618916,2.6958632186182827,6.170600748263446,0.0
2025-01-06,59.28150080518988,13.123574935089566,4.914662457836023,6.50367848814046,4.2836827257143915,3.019207536852652,2.709535713335227,6.1641573378417975,0.0
2025-01-07,59.23275205464598,13.162205032745414,4.910621000536352,6.498330340810689,4.2801601397850755,3.0386900786002755,2.7181529651165657,6.159088387759657,0.0
2025-01-09,59.14181724454157,13.152964059832078,4.903082158043157,6.587046204976716,4.284554985530561,3.039507944932671,2.741394518535083,6.149632883608163,0.0
2025-01-10,59.14506010827043,13.153685263069717,4.903351003811358,6.587407385850311,4.284789916220964,3.034191407878735,2.7415448346610467,6.149970080237438,0.0
2025-01-14,59.145064162072636,13.153686164623258,4.903351339887018,6.587407837351189,4.284790209900449,3.0341916158422033,2.7415381685668834,6.149970501756365,0.0
2025-01-17,59.12886149964775,13.177491228735672,4.902008077391045,6.5856032312195385,4.283616400888386,3.0333604056105394,2.740773425870236,6.148285730636835,0.0
2025-01-20,59.12887365439542,13.177493937549556,4.902009085065974,6.585584028610302,4.283617281444433,3.0333610291593343,2.740773989273768,6.148286994501212,0.0
2025-01-21,59.112712255184555,13.206773401699198,4.90066924344778,6.578303823435832,4.282446461764073,3.03253193576531,2.739956364726027,6.146606513977231,0.0
2025-01-22,59.096519216653945,13.230549100848895,4.899326778809339,6.5765017960340275,4.2812733499592674,3.0317012192475303,2.739205794885911,6.144922743561087,0.0
2025-01-23,59.05445880638057,13.248506601192075,4.895839810420819,6.571821141955389,4.278226265021294,3.0733418839670636,2.737256236416423,6.14054925464637,0.0
2025-01-24,59.80092648886042,13.504676110256971,4.957724827588779,6.654891111550596,4.332304444886518,3.145453949978206,2.77185605090038,4.832167015978136,0.0
2025-02-03,59.784478513966235,13.528674101596483,4.956361227753722,6.653060713790008,4.331112864104625,3.1445888070675907,2.770885821468931,4.830837950252405,0.0
2025-02-04,59.78456135262486,13.528692847218146,4.956368095394387,6.6529313702642385,4.331118865387717,3.144593164277442,2.7708896608678915,4.830844643965318,0.0
2025-02-06,59.787875087224506,13.529442714684956,4.956642816628008,6.6533001284916455,4.331358930349552,3.1392246693761963,2.771043245551517,4.831112407693613,0.0
2025-02-07,59.74482516985672,13.536317323291891,4.9530738143283575,6.703897479209449,4.328240160134524,3.1369642886147386,2.769047971717658,4.827633792846667,0.0
2025-02-10,59.71836371379451,13.530321981183583,4.950880058722946,6.700928269941746,4.326323148301308,3.179865693987363,2.7678215384486773,4.825495595619868,0.0
2025-02-11,59.71836784656605,13.53032291754095,4.950880401345466,6.700921813238563,4.326323447701761,3.179865914047955,2.767821729994014,4.825495929565235,0.0
2025-02-12,59.721674247086774,13.531072044959416,4.951154514555979,6.695756164346549,4.32656298134302,3.1800419722808426,2.7679749747583857,4.825763100669027,0.0
2025-02-13,59.72168251354688,13.531073917881914,4.951155199877042,6.6957432495075215,4.326563580210362,3.1800424124508555,2.7679753578915616,4.82576376863386,0.0
2025-02-14,59.72333585156676,13.531448512803168,4.951292267903088,6.693160209837344,4.3266833570110395,3.1801304489026774,2.7680519866586137,4.8258973653173065,0.0
2025-02-17,59.716743711407595,13.529954939078909,4.950745754347982,6.703459228754087,4.326205786515234,3.179779432581424,2.7677464547186483,4.825364692596127,0.0
2025-02-18,59.716599072611444,13.529922168430799,4.9507337632402715,6.703685200541948,4.326195308093975,3.179771730897766,2.767739751012278,4.825353005171517,0.0
2025-02-19,59.71676437414995,13.529959620613024,4.95074746736811,6.7034269469807475,4.3262072834367,3.1797805328249917,2.767747412393638,4.8253663622328355,0.0
2025-02-20,59.70354314227947,13.52696410109322,4.949651376833329,6.701942814963186,4.325249465473629,3.2012164325215426,2.767134635886376,4.824298030949255,0.0
2025-02-21,59.703295300095135,13.526907947770422,4.949630829771222,6.701914993764323,4.32523151043748,3.201618264987377,2.7671231489183263,4.824278004255714,0.0
2025-02-24,59.69668693415531,13.52541069778943,4.949082971037031,6.701173180325822,4.324752764457853,3.212332566864228,2.7668168649472875,4.823744020423041,0.0
2025-02-27,59.69338329974914,13.524662197086398,4.948809087147961,6.700802335184873,4.330047464294972,3.212154795317145,2.7666637483865526,4.823477072832967,0.0
2025-03-03,59.83265893113754,13.528482994023472,6.069744568452255,6.638779308219965,4.367884985648527,3.358322967710983,2.7561313641937435,3.447994880613519,0.0
