date,YUE XIU SECURITIES CO LTD,QUAM SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,ZHONGTAI INTERNATIONAL SECURITIES LTD,BOCI SECURITIES LTD,CITIBANK N.A.,CMB INTERNATIONAL SECURITIES LTD,CMB WING LUNG BANK LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD
2024-08-27,3.176021674681192,0.0,8.120912946650211,0.0,0.0,0.0,0.0,4.235995857979772,0.0
2024-08-28,0.0,0.0,0.0,0.0,0.0,0.8301000397180023,0.0,4.333163113323971,0.0
2024-08-29,3.1136076712484217,0.0,0.0,0.0,0.0,0.0,0.0,4.328907613089919,0.0
2024-09-02,3.096585670312212,0.0,8.1280054470403,0.0,0.0,0.8265537895229584,0.0,0.0,0.0
2024-09-03,0.0,0.0,0.0,0.0,0.0,0.819461289132871,0.0,0.0,0.0
2024-09-04,3.1951714257344284,0.0,0.0,0.23759876306793196,0.0,0.8173335390158446,0.0,0.0,0.0
2024-09-05,3.152616423393903,0.0,8.117366696455168,0.0,1.4206278281345306,0.0,0.0,4.324652112855866,0.0
2024-09-09,0.0,0.0,0.0,0.0,0.0,0.6645672865512008,0.0,0.0,0.0
2024-09-10,3.1916251755393845,0.0,0.0,0.0,0.0,0.6546377860050783,0.0,4.323942862816858,0.0
2024-09-11,3.1866604252663238,0.0,8.11665744641616,0.0,0.0,0.6539285359660695,0.0,0.0,0.0
2024-09-12,0.0,0.0,8.125168446884265,0.2567485141211683,0.0,0.6376157850688682,0.0,0.0,0.0
2024-09-13,3.207228676397577,0.0,0.0,0.0,0.0,0.6298140346397719,0.0,0.0,0.0
2024-09-16,3.2540391789721546,0.0,0.0,0.0,0.0,0.6213030341716669,0.0,0.0,0.0
2024-09-17,3.2965941813126802,0.0,0.0,0.2829907655644921,0.0,0.0,0.0,0.0,0.0
2024-09-19,3.252620678894137,0.0,8.11665744641616,0.0,0.0,0.6135012837425706,0.0,0.0,0.0
2024-09-20,3.282409180532505,0.0,8.109564946026072,0.0,0.0,0.6056995333134744,0.0,0.0,0.0
2024-09-23,3.3072329318978113,0.0,8.123749946806246,0.0,0.0,0.6106642835865356,0.0,0.0,0.0
2024-09-24,3.329928933146091,0.0,8.123040696767237,0.0,0.0,0.6220122842106757,0.0,0.0,0.0
2024-09-25,3.390924436500844,3.831368710725279,8.12233144672823,0.0,0.0,0.6305232846787806,0.0,0.0,0.0
2024-09-26,3.3902151864618353,3.835624210959332,8.178362199809921,0.23759876306793196,0.0,0.6461267855369732,0.0,4.284934110671376,0.0
2024-09-27,3.329928933146091,0.0,8.124459196845256,0.19859001092245057,0.0,0.6617302863951657,0.0,0.0,0.0
2024-09-30,3.4356071889583957,3.834914960920323,8.139353447664439,0.0,1.4014780770812942,0.6674042867072357,0.0,0.0,0.0
2024-10-02,3.378867185837695,3.8334964608423054,8.192547200590097,0.23405251287288822,0.0,0.6688227867852533,0.0,0.0,0.0
2024-10-03,3.341276933770231,3.8398797111933844,8.19112870051208,0.2872462657985446,0.0,0.6872632877994808,0.0,0.0,0.0
2024-10-04,3.385250436188774,3.835624210959332,8.19041945047307,0.0,0.0,0.7120870391647872,0.0,0.0,0.0
2024-10-07,3.3121976821708725,0.0,0.0,0.2964665163056584,0.0,0.0,0.0,0.0,0.0
2024-10-08,3.3192901825609598,3.8271132104912264,8.152119948366597,0.31065151708583344,0.0,0.0,0.0,0.0,0.0
2024-10-09,3.3490786841993274,0.0,8.151410698327588,0.0,1.4192093280565132,0.7213072896719009,0.0,4.287061860788402,0.0
2024-10-10,3.363263684979503,0.0,8.130133197157326,0.0,0.0,0.7113777891257783,0.0,4.27145835993021,0.0
2024-10-14,3.331347433224109,0.0,8.13297019731336,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-15,3.37035618536959,3.832077960764288,8.136516447508404,0.0,0.0,0.6986112884236209,0.0,0.0,0.0
2024-10-16,3.340567683731223,3.8271132104912264,8.140771947742458,0.0,0.0,0.6943557881895683,0.0,0.0,0.0
2024-10-17,3.3490786841993274,3.829240960608253,8.135807197469395,0.0,0.0,0.6929372881115509,0.0,0.0,0.0
2024-10-18,3.344113933926266,3.8299502106472616,0.0,0.0,0.0,0.6986112884236209,0.0,0.0,0.0
2024-10-21,3.3178716824829424,3.8285317105692442,0.0,0.0,0.0,0.7120870391647872,0.0,0.0,0.0
2024-10-22,3.363263684979503,3.8271132104912264,8.158503198717677,0.0,0.0,0.7447125409591897,0.0,0.0,0.0
2024-10-23,3.322127182716995,3.829240960608253,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-24,3.3448231839652753,3.8306594606862707,0.0,0.0,0.0,0.7475495411152248,0.0,0.0,0.0
2024-10-25,3.322127182716995,3.8299502106472616,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-28,3.340567683731223,3.8271132104912264,8.15637544860065,0.0,0.0,0.7666992921684611,0.0,0.0,0.0
2024-10-29,3.3015589315857414,3.8299502106472616,8.14999219824957,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-30,3.3178716824829424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-31,3.3015589315857414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,3.3185809325219515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-04,3.3121976821708725,0.0,0.0,0.2730612650183696,0.0,0.7787565428316099,0.0,4.2771323602422795,0.0
2024-11-05,3.3157439323659164,0.0,8.152829198405605,0.27873526533043963,0.0,0.7773380427535923,0.0,0.0,0.0
2024-11-06,3.306523681858802,0.0,8.154956948522631,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-07,3.326382682951048,0.0,8.143608947898493,0.0,0.0,0.7823027930266535,0.0,0.0,0.0
2024-11-08,3.3015589315857414,0.0,8.145736698015519,0.0,0.0,0.7801750429096274,0.0,0.0,0.0
