date,THE HONGKONG AND SHANGHAI BANKING,CMB INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG),STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-07-05,2.5383425379280977,3.4569058740691903,2.536882191770588,0.5184221388402771,1.1590878953197576,1.034513028065765,1.0287231916566588,2.005337855631363,0.6058783648754905,14.884093078157187
2024-07-08,2.5474942148328137,3.4569058740691903,2.542111721430426,0.5186089077566999,1.1590878953197576,1.034513028065765,1.0287231916566588,1.9866609639890853,0.6058783648754905,14.879984161995887
2024-07-09,2.565050492976555,3.4569058740691903,2.5424852592632714,0.5186089077566999,1.172161719469352,1.034513028065765,1.0287231916566588,1.9679840723468074,0.6060651337919133,14.892497679396213
2024-07-10,2.565050492976555,3.4569058740691903,2.5424852592632714,0.5187956766731227,1.1811266274576455,1.034513028065765,1.0287231916566588,1.9493071807045297,0.6060651337919133,14.882972464658653
2024-07-11,2.5727080185498887,3.4569058740691903,2.5424852592632714,0.5187956766731227,1.1781383247948811,1.034513028065765,1.0287231916566588,1.9306302890622522,0.607932822956141,14.87083248509117
2024-07-12,2.582046464371028,3.4569058740691903,2.5424852592632714,0.5187956766731227,1.1781383247948811,1.034513028065765,1.0287231916566588,1.9119533974199743,0.6092402053711005,14.862801421684994
2024-07-15,2.5897039899443617,3.4569058740691903,2.544352948427499,0.5187956766731227,1.1779515558784581,1.034513028065765,1.0287231916566588,1.8960780395240382,0.6099872810367916,14.857011585275886
2024-07-16,2.6031513519268015,3.4569058740691903,2.544352948427499,0.49825109586661714,1.1779515558784581,1.034513028065765,1.0287231916566588,1.8774011478817605,0.6099872810367916,14.83123747480954
2024-07-17,2.6040851965089153,3.4569058740691903,2.544352948427499,0.49825109586661714,1.1779515558784581,1.034513028065765,1.0287231916566588,1.8774011478817605,0.6099872810367916,14.832171319391657
2024-07-18,2.611929490998672,3.4569058740691903,2.5523840118336785,0.49825109586661714,1.1768309423799215,1.034513028065765,1.0287231916566588,1.8587242562394826,0.6099872810367916,14.82824917214678
2024-07-19,2.605205810007452,3.4569058740691903,2.5523840118336785,0.47957420422433933,1.1686131100573194,1.034513028065765,1.0287231916566588,1.8400473645972046,0.6144697350309383,14.780436329542546
2024-07-22,2.7208833796208967,3.4569058740691903,2.5523840118336785,0.47957420422433933,1.1686131100573194,1.034513028065765,1.0287231916566588,1.821370472954927,0.6144697350309383,14.877437007513713
2024-07-23,2.7208833796208967,3.4569058740691903,2.5523840118336785,0.47957420422433933,1.1671189587259372,1.034513028065765,1.0287231916566588,1.8026935813126495,0.6150300417802066,14.857826271289321
2024-07-24,2.7262996781971567,3.4569058740691903,2.5523840118336785,0.47957420422433933,1.1693601857230105,1.034513028065765,1.0287231916566588,1.7840166896703715,0.6152168106966294,14.846993674136803
2024-07-25,2.733770434854068,3.4569058740691903,2.5523840118336785,0.47957420422433933,1.1751500221321165,1.034513028065765,1.0287231916566588,1.7653397980280938,0.6170844998608571,14.843445064724767
2024-07-26,2.734704279436182,3.4569058740691903,2.556119390162134,0.47957420422433933,1.1751500221321165,1.034513028065765,1.0287231916566588,1.746662906385816,0.6168977309444343,14.829250627076638
2024-07-29,2.734704279436182,3.4569058740691903,2.556119390162134,0.47957420422433933,1.1751500221321165,1.034513028065765,1.0287231916566588,1.7279860147435382,0.6167109620280116,14.810386966517935
2024-07-30,2.7421750360930934,3.4569058740691903,2.556119390162134,0.47957420422433933,1.1764574045470761,1.034513028065765,1.0287231916566588,1.7093091231012607,0.6167109620280116,14.80048821394753
2024-07-31,2.7418014982602474,3.4569058740691903,2.556119390162134,0.47957420422433933,1.1760838667142304,1.034513028065765,1.0287231916566588,1.7093091231012607,0.6167109620280116,14.799741138281838
2024-08-01,2.7418014982602474,3.4569058740691903,2.5439794105946536,0.47957420422433933,1.1760838667142304,1.034513028065765,1.0287231916566588,1.6848423950498768,0.6168977309444343,14.763321199579396
2024-08-02,2.749272254917159,3.4569058740691903,2.5439794105946536,0.47957420422433933,1.1760838667142304,1.034513028065765,1.0287231916566588,1.6575741332521512,0.6178315755265482,14.744457539020697
2024-08-05,2.749272254917159,3.4569058740691903,2.5439794105946536,0.47957420422433933,1.1753367910485395,1.034513028065765,1.0287231916566588,1.6448738469354023,0.6176448066101254,14.730823408121832
2024-08-06,2.749272254917159,3.4569058740691903,2.544539717343922,0.47957420422433933,1.1753367910485395,1.034513028065765,1.0287231916566588,1.6209674256332869,0.6176448066101254,14.707477293568985
2024-08-07,2.749272254917159,3.4569058740691903,2.544539717343922,0.47957420422433933,1.1753367910485395,1.034513028065765,1.0287231916566588,1.6093877528150744,0.6176448066101254,14.695897620750772
2024-08-08,2.749272254917159,3.4569058740691903,2.544539717343922,0.47957420422433933,1.1758970977978078,1.034513028065765,1.0287231916566588,1.583800411265154,0.6176448066101254,14.670870585950121
