date,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,KGI ASIA LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,THE HONGKONG AND SHANGHAI BANKING,DBS BANK LTD,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CHINA MERCHANTS BANK CO LTD
2024-08-15,31.395212217385843,26.766221249996917,18.09132689632641,5.986107785364444,4.183735690183515,2.9272956487927084,3.296709262803469,2.7834339869763842,2.776024027008458,1.7939332351618462
2024-08-16,31.39736851574301,26.76805961816941,18.092569451980932,5.99555608277929,4.184023039169505,2.929304133907303,3.2801265763034335,2.782721444168374,2.7762146909863747,1.7940564467923672
2024-08-19,31.406053451867873,26.77546402493852,18.097574101015333,5.997214534556414,4.185180396443631,2.9319223503877647,3.2528301737791616,2.782225630518426,2.7769826294602002,1.794552707032679
2024-08-20,31.396403819338087,26.767237159087603,18.092013550721326,6.100741882263297,4.183894483428217,2.93102150579962,3.1737520898958698,2.7831781567372724,2.7761293907061826,1.795627962022521
2024-08-21,31.386022898833723,26.758386828244973,18.08603159955537,6.103603031782683,4.213226350086729,2.921199177846487,3.1781230540771714,2.783161314667695,2.775211490086717,1.7950342548184592
2024-08-22,31.38539912779004,26.757855027610887,18.085672154752718,6.103481727760011,4.213142615724904,2.922947863853403,3.1782405657711217,2.783106001656436,2.7751563350715953,1.7949985800088737
2024-08-23,31.380183104298993,26.753408068060498,18.082666448486997,6.102467373794347,4.212442422276183,2.9351071862920115,3.179880096030175,2.7844499119587067,2.7746951244119464,1.7947002643901488
2024-08-26,31.37876600616996,26.752199910530237,18.081849853099172,6.102191792384605,4.212252192529741,2.9308200104547812,3.1884070264737963,2.7843241689460707,2.7745698219158976,1.7946192174957323
2024-08-27,31.375705510971258,26.749590662627853,18.08008625874214,6.101596621475765,4.211841354907623,2.9419131175751687,3.1864704825798826,2.784052602793692,2.774299207143578,1.794444181183037
2024-08-28,31.366640881083015,26.741862545121975,18.074862813161747,6.098931002260524,4.2106245286272745,2.9766347336687082,3.179771771908156,2.7832482732647543,2.7734976954292603,1.7939257554745902
2024-08-29,31.34669590805264,26.724858310295986,18.06336962673152,6.123090543385067,4.207947136649508,3.004336029764469,3.1752235437405005,2.7926664902777896,2.771734123201528,1.7900782879009869
2024-08-30,31.34013567581078,26.71926533559586,18.05958932720109,6.121809103831746,4.207066498046994,3.0239136143816485,3.17365696501328,2.7937057644949483,2.771154055062474,1.789703660561181
2024-09-02,31.325950085032584,26.707171304865884,18.051414954681835,5.936001174408636,4.205162239420442,3.095218691942728,3.330551970489993,2.7897362598668143,2.7698997383034434,1.7888935809876403
2024-09-03,31.324594366505426,26.70601547697087,18.050633728968677,5.935744277275507,4.204980249206507,3.0887733903108305,3.3311291283327673,2.799533357731079,2.76977986310785,1.7888161615904865
2024-09-04,31.32024556163515,26.70230787109374,18.048127752899084,5.944476072024956,4.204396470263571,3.0881642755982015,3.3351741458439705,2.799144697493115,2.7693953335584056,1.7885678195898036
2024-09-05,31.318495084995558,26.70081548923934,18.047119049887556,5.948110197680199,4.204161488140257,3.090155148450792,3.334807455128022,2.798627676161123,2.7692405531040936,1.7884678572130603
2024-09-09,31.31081788617836,26.69427023639319,18.042695104207933,5.955664364357056,4.203130909132025,3.0962469555757073,3.3435429634375,2.793435517377594,2.768561720668463,1.7916343426721697
2024-09-10,31.34279337002979,26.721531172532654,18.061120809599533,5.967159324794865,4.207423264093781,3.0983263558050687,3.2186724820176233,2.813609433521095,2.7713890534105436,1.7979747341950565
2024-09-11,31.34030530240087,26.719409952004526,18.059687073636766,5.966685637086903,4.207089268540132,3.1058382331111267,3.218597390572321,2.8133860823197745,2.7711690537663034,1.7978320065612767
2024-09-12,31.345168712225586,26.71814300869174,18.062489588120833,6.040510381526908,4.207742127505117,3.1128161345508287,3.129597300889779,2.8138226654794285,2.7715990856588446,1.7981109953509367
2024-09-13,31.349135487858533,26.717914917966652,18.064775421839784,6.042695982384634,4.208274623249338,3.1045477226192526,3.1299933558744586,2.8123741038945784,2.7719498354607754,1.7983385488519938
2024-09-16,31.34789090115114,26.716854194561083,18.064058235256734,6.046967540323258,4.208107551252752,3.1183197600946677,3.115612885302919,2.8120819919881486,2.771839786750816,1.7982671533184817
2024-09-17,31.345062662485574,26.70722609121429,18.062428477512615,6.046421976748953,4.207727891500751,3.1198428424910154,3.1297671545984187,2.811828283084875,2.771589708540312,1.7981049118231907
2024-09-19,31.342008737877116,26.698850444690898,18.06066866942386,6.042404813946822,4.207317935907683,3.122606094461781,3.132709864109314,2.8241840409435635,2.771319674752005,1.7979297238869616
2024-09-20,31.348173753088805,26.70211708500549,18.064221227206975,6.042691063350173,4.208145520996188,3.188907736246136,3.0508558762366125,2.8247395617373527,2.7718647970539667,1.7982833790783062
2024-09-23,31.372008209036412,26.718807135860217,18.077955707832828,6.051800334921756,4.211345033026181,3.1976532078889126,2.988702300765482,2.808105146812646,2.7739722847155597,1.7996506391400098
2024-09-24,31.354171415551484,26.703615955178687,18.06767734884345,6.051066954999128,4.208950640829566,3.2387928427053363,2.9990961811408754,2.805606104938238,2.7723951217094274,1.7986274341038049
2024-09-25,31.351681541232253,26.701495387337292,18.06624257178483,6.046976829320627,4.2086164027477295,3.257486060859975,2.9914583333566456,2.8053833082169346,2.7721749623142125,1.7984846028295003
2024-09-26,31.343648734519093,26.694654033353878,18.061613708914383,6.045427496280707,4.207538087313559,3.2689209454890755,2.9654311276211818,2.843277378098849,2.7714646863560297,1.7980238020532446
2024-09-27,31.339464255243715,26.691090210025198,18.05920242460971,6.076192128813066,4.206976367263801,3.273536008576769,2.9417623673658198,2.8428977913007842,2.771094686786397,1.7977837600147424
2024-09-30,31.337994298025716,26.68983828177299,18.058355369448233,6.075907128967347,4.206779041769447,3.28889698145284,2.935310338720814,2.8382544133178396,2.7709647103897552,1.79769943613502
2024-10-02,31.34240458342225,26.6935944189045,18.06089677334964,6.01613882518111,4.207371073792872,3.2936900789951915,2.9355430065873334,2.8810541320950547,2.7713546761635794,1.797952431508468
2024-10-03,31.34840003831409,26.69870060789563,18.064351622884956,6.027575937182824,4.208175897284286,3.2970270441864535,2.904704285890813,2.8808834008425035,2.771884805621452,1.7982963598969899
2024-10-04,31.349135487858533,26.69932697310647,18.064775421839784,6.0049786962120235,4.208274623249338,3.289705309284797,2.933827374680067,2.88419936655821,2.7719498354607754,1.7938269117500067
2024-10-07,31.342687336362076,26.67759668018449,18.06105970825289,6.004465255597293,4.207409030246943,3.2919155091065426,2.9664227396667946,2.883606120391382,2.7713796777131536,1.7934579424784343
2024-10-08,31.3603978319161,26.692671120111296,18.075778546651584,5.8971930536078885,4.20978646834357,3.302982684712636,2.985971447592206,2.907801820215699,2.77294567321743,1.7944713536315917
2024-10-09,34.398775198046785,19.572805742277282,19.82706488892632,6.447755125598058,4.617655016128406,3.6635891527677704,3.2635864454227135,3.199625616475955,3.041604744960432,1.9675380693962796
2024-10-10,34.43252612040372,19.59200992158633,19.846518538766446,6.4059150958222375,4.622185704067822,3.6646069426993395,3.1989988883721674,3.212081107012267,3.0445890653322074,1.980568615937462
2024-10-14,34.43641684310924,19.59422373179538,19.84380516153507,6.411793119427339,4.62270799054791,3.6465849087065823,3.218985906364636,3.202532166357969,3.044933090390492,1.9780170817653862
2024-10-15,34.4205182072066,19.585177452958472,19.834643655719187,6.408832917012747,4.620573774564847,3.6706603702480285,3.215320152659366,3.1990721553389703,3.0435273029424956,2.0016740113492895
2024-10-16,34.38672274038273,19.565947927973795,19.815169194655155,6.402540463804381,4.616037107023542,3.683684314275959,3.261849112291862,3.1678220259744303,3.0405390438647286,2.059688069753418
2024-10-17,34.36257517087333,19.552208029258374,19.801254283976373,6.398044374076559,4.612795562961859,3.7165059838298125,3.2401728771094493,3.160652150821415,3.0384038701099594,2.117387696982878
2024-10-18,34.32400952275153,19.530264284614354,19.7790310308794,6.401336059606109,4.6076185513539,3.727746969846163,3.26755812786738,3.159080809599303,3.0349938225822677,2.1683608208995966
2024-10-21,34.32170376142179,19.52895231294283,19.777702347968372,6.351511673720597,4.607309028404058,3.7462664131210315,3.294801893634635,3.168747467624867,3.0347899428057086,2.16821515835611
2024-10-22,34.33337138256111,19.535591156352794,19.784425753647955,6.314141935040841,4.6088752774629285,3.750899910617585,3.2724022457632707,3.1955184821827967,3.035821615928238,2.1689522404424797
2024-10-23,34.323670420773354,19.530071336548403,19.778835625137408,6.312357861785937,4.588999684257063,3.8093143127143985,3.259819883352982,3.193627638176401,3.034963838544176,2.168339398709882
2024-10-24,34.32733307675404,19.532155377436425,19.780946211496765,6.299198757953952,4.56478813883553,3.841338382286747,3.261155785939512,3.189225791024529,3.035287697511417,2.168570780761087
2024-10-25,34.33004665926132,19.53369939820388,19.78250989922914,6.297720455896252,4.565346611743062,3.8679262319828247,3.2329555093504507,3.185525390012832,3.0355276376076117,2.1687422067126256
2024-10-28,34.32936822341481,19.53331337012713,19.782118954119664,6.297595999342173,4.554584824683029,3.89195962760045,3.23150826802694,3.175383735974613,3.0354676490272627,2.168699347683931
2024-10-29,34.343621009619426,19.54142316514346,19.790332047652065,6.2586928560513355,4.556475786478028,3.893575482227548,3.2328499180148706,3.176702084311579,3.036727907332951,2.169599743168737
2024-10-30,34.35319738016621,19.569614351141755,19.7958503811114,6.254307507313188,4.513052832112999,3.895056683813051,3.233553606672786,3.1775878754827422,3.037574668123906,2.1702047140619625
2024-10-31,34.3579535907543,19.587157731220582,19.79859112259584,6.2452841107220936,4.488954397243136,3.8993538923884574,3.2361769407689547,3.178027813487078,3.037995221257251,2.1705051795623094
2024-11-01,34.36073998288877,19.58874622810514,19.8001967664952,6.238669717625628,4.489318446492793,3.928549245056105,3.2328789517746834,3.1519778571053343,3.0382415993183516,2.1706812051379942
2024-11-04,34.40041008008629,19.61730270733788,19.82305645259766,6.184680933825433,4.494501446021084,3.892488562874093,3.2385916746664076,3.134031542330352,3.0417493043216353,2.1731872959391683
2024-11-05,34.40368031041911,19.61916760075666,19.824940905729164,6.175366403531528,4.494928709967224,3.89721568358896,3.2371171027676366,3.134329474970977,3.042038464271086,2.171215343997651
