date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,CMBC SECURITIES CO LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,MIDAS SECURITIES LTD
2025-02-27,1331111989.0,1594918000.0,289189573.0,123169572.0,75800400.0,0.0,0.0,0.0
2025-02-28,1340453076.0,1593436000.0,289039573.0,116190074.0,75770400.0,0.0,0.0,0.0
2025-03-03,1330321164.0,1608422000.0,288909573.0,115087724.0,77610400.0,0.0,0.0,0.0
2025-03-04,1292893036.0,1633390000.0,289263573.0,95426042.0,80173400.0,0.0,10203487845.0,0.0
2025-03-05,1269909036.0,1647804000.0,290347573.0,89565606.0,72761400.0,6707476952.0,0.0,0.0
2025-03-06,1300050986.0,1617152000.0,292695573.0,77638606.0,66423400.0,6739476952.0,0.0,0.0
2025-03-07,1307962835.0,1604656000.0,292815573.0,83965566.0,65325400.0,0.0,0.0,0.0
2025-03-10,1288541699.0,1594530000.0,292657573.0,122086018.0,63627400.0,0.0,0.0,0.0
2025-03-11,1309373329.0,1595076000.0,292419573.0,109786857.0,63549400.0,0.0,0.0,0.0
2025-03-12,1336136101.0,1564802000.0,292639573.0,115411106.0,62159400.0,0.0,0.0,0.0
2025-03-13,1351114484.0,1553446000.0,292591573.0,114274737.0,62321400.0,0.0,0.0,0.0
2025-03-14,1349323642.0,1550822000.0,289385573.0,132830488.0,62341400.0,0.0,0.0,0.0
2025-03-17,1357823642.0,1545900000.0,289365573.0,132978775.0,63107400.0,0.0,0.0,0.0
2025-03-18,1375193443.0,1540316000.0,289405573.0,103991308.0,62765400.0,0.0,0.0,0.0
2025-03-19,1375169443.0,1542602000.0,288675573.0,100763308.0,63177400.0,0.0,0.0,0.0
2025-03-20,1385251443.0,1526056000.0,288803573.0,112163504.0,63017400.0,0.0,0.0,0.0
2025-03-21,1385863443.0,1524384000.0,288583573.0,112165504.0,63073400.0,0.0,0.0,0.0
2025-03-24,1391778045.0,1523732000.0,288633573.0,118303482.0,62733400.0,0.0,0.0,0.0
2025-03-25,1388253045.0,1526278000.0,288245573.0,116082482.0,64648400.0,0.0,0.0,0.0
2025-03-27,1393288914.0,1498944000.0,288179573.0,114472982.0,66624400.0,6762476952.0,0.0,0.0
2025-03-28,1394179020.0,1498928000.0,288239573.0,117204982.0,67195400.0,0.0,0.0,0.0
