date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,CHINA INDUSTRIAL SECURITIES,CMB INTERNATIONAL SECURITIES LTD,ORIENT SECURITIES (HONG KONG) LTD,TOYO SECURITIES ASIA LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD
2024-11-25,248.761011,0.0,64.35300000000001,0.0,0.0,0.0,0.0,0.0,91.85849999999999,0.0
2024-11-26,248.82251100000002,0.0,65.1555,0.0,0.0,0.0,0.0,0.0,92.4615,0.0
2024-11-27,0.0,107.7675,64.8495,0.0,0.0,0.0,0.0,0.0,92.7615,0.0
2024-11-28,0.0,0.0,0.0,56.018597,0.0,0.0,0.0,0.0,93.4155,0.0
2024-11-29,248.79401099999998,0.0,64.89,0.0,0.0,0.0,0.0,0.0,93.7245,0.0
2024-12-02,0.0,0.0,64.88850000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-06,0.0,107.72699999999999,0.0,0.0,0.0,0.0,0.0,0.0,93.762,0.0
2024-12-10,0.0,107.7165,64.851,0.0,0.0,0.0,0.0,0.0,93.91199999999999,0.0
2024-12-11,248.791011,0.0,64.854,0.0,0.0,0.0,0.0,0.0,94.062,0.0
2024-12-12,0.0,107.70150000000001,64.893,0.0,0.0,0.0,0.0,0.0,94.27799999999999,0.0
2024-12-13,248.815011,0.0,65.38199999999999,56.01559699999999,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-16,248.812011,107.7675,65.3745,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-19,0.0,107.7645,0.0,56.05609700000001,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-20,0.0,107.75399999999999,65.397,0.0,0.0,0.0,0.0,0.0,94.2795,0.0
2024-12-30,248.752011,107.75250000000001,0.0,0.0,0.0,0.0,0.0,0.0,94.3875,0.0
2025-01-02,0.0,0.0,65.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03,0.0,107.7075,65.2275,56.021597,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-06,0.0,0.0,65.26950000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-07,248.70851100000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-08,0.0,0.0,65.649,0.0,58.579351,0.0,0.0,0.0,0.0,0.0
2025-01-09,0.0,0.0,65.691,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-10,0.0,107.6865,65.7165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-13,248.707011,0.0,65.8215,55.973597,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-14,248.68751100000003,0.0,65.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-15,0.0,0.0,65.298,55.967597000000005,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-16,0.0,107.67750000000001,0.0,0.0,0.0,0.0,0.0,0.0,94.42049999999999,0.0
