date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,BNP PARIBAS,UBS SECURITIES HONG KONG LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,DEUTSCHE BANK AG,INDUSTRIAL AND COMMERCIAL BANK OF CHINA
2024-10-10,501107899.0,28642413.0,25384377.0,3233980.0,7184025.0,4290244.0,2587528.0,841466.0,744036.0,2861232.0
2024-10-14,502463429.0,28867874.0,25335706.0,3222639.0,7370724.0,4314734.0,1107769.0,625191.0,745236.0,2845203.0
2024-10-15,503277901.0,29043232.0,25459934.0,3256389.0,7420527.0,3883666.0,899533.0,443562.0,744936.0,2845553.0
2024-10-16,503692938.0,29393618.0,25517124.0,3274036.0,7102096.0,3824821.0,1059688.0,511626.0,744602.0,2832053.0
2024-10-17,503464880.0,29693984.0,25428094.0,3209104.0,7101047.0,3827265.0,1053663.0,756058.0,745962.0,2761853.0
2024-10-18,502749063.0,30147263.0,25412800.0,3213132.0,7050644.0,3809651.0,1408342.0,447484.0,746442.0,2736753.0
2024-10-21,502967466.0,29870023.0,25338676.0,3213032.0,6892089.0,3800265.0,1466541.0,486277.0,760592.0,2736803.0
2024-10-22,502485967.0,30323962.0,25307198.0,3200784.0,7244598.0,3990948.0,1479096.0,525567.0,779842.0,2767403.0
2024-10-23,501721458.0,30771540.0,26202760.0,3225040.0,6327155.0,4340292.0,1529762.0,461484.0,0.0,2722853.0
2024-10-24,501798969.0,30852854.0,26225300.0,3206345.0,6330889.0,4193880.0,2076712.0,562446.0,779752.0,2713853.0
2024-10-25,501848528.0,30901628.0,26548234.0,3199812.0,6331162.0,3597251.0,2145362.0,468042.0,777982.0,0.0
2024-10-28,502280693.0,30801083.0,26971084.0,3197732.0,6377628.0,3672882.0,1845540.0,559596.0,777732.0,0.0
2024-10-29,501896608.0,31373718.0,26961694.0,3195542.0,6441320.0,3693656.0,1632790.0,465538.0,774421.0,0.0
2024-10-30,501505669.0,32356669.0,25969744.0,3346794.0,6423515.0,3778398.0,1736375.0,608113.0,0.0,0.0
2024-10-31,501328700.0,32521782.0,26010966.0,3395649.0,6646167.0,3806134.0,1523108.0,748079.0,788621.0,2713453.0
2024-11-01,501076663.0,32816874.0,26051996.0,3395136.0,6629001.0,3480331.0,1595667.0,682961.0,0.0,0.0
2024-11-04,500975463.0,32878362.0,26076357.0,3393540.0,6638077.0,3397808.0,1494398.0,716744.0,790671.0,2707153.0
2024-11-05,501047033.0,32946965.0,26051535.0,3386760.0,6560587.0,3491878.0,1471769.0,760929.0,753671.0,0.0
2024-11-06,500833687.0,34021584.0,26058055.0,3372454.0,6388367.0,3749382.0,1191320.0,493037.0,753771.0,0.0
2024-11-07,500230531.0,34583790.0,26095602.0,3372094.0,6367667.0,3716437.0,1214820.0,580354.0,754185.0,0.0
2024-11-08,500552873.0,34562889.0,25778837.0,3376108.0,6095610.0,3548286.0,1652295.0,557920.0,804185.0,0.0
2024-11-11,500872902.0,34428978.0,25779979.0,3371783.0,6052305.0,3491201.0,1625607.0,498467.0,0.0,0.0
