date,ORIENT SECURITIES (HONG KONG) LTD,MIB SECURITIES (HONG KONG) LTD,I WIN SECURITIES LTD,LIVERMORE HOLDINGS LTD,THE HONGKONG AND SHANGHAI BANKING,SINOPAC SECURITIES (ASIA) LTD,HEAD & SHOULDERS SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-08-12,3.732807211145475,2.241670950232389,1.0029527397560003,1.546644859967453,0.889890487997896,0.3537942813412515,0.28922901612538315,0.342984712051717,0.018113332323003793,0.14256945441332017,10.560657045353889
2024-08-13,3.732807211145475,2.2407944986683725,0.9927274715091434,1.5332059359858696,0.889890487997896,0.3537942813412515,0.28922901612538315,0.3359730995395865,0.018113332323003793,0.14169300284930386,10.528228337485285
2024-08-14,3.732807211145475,2.2407944986683725,0.9927274715091434,1.5332059359858696,0.889890487997896,0.3537942813412515,0.28922901612538315,0.336557400582264,0.018113332323003793,0.14169300284930386,10.528812638527963
2024-08-15,3.732807211145475,2.2407944986683725,0.9991547829785964,1.5332059359858696,0.8895983374765573,0.3537942813412515,0.28922901612538315,0.328961487027456,0.018113332323003793,0.14198515337064263,10.527644036442608
2024-08-16,4.410596420651423,2.2399180471043563,0.9927274715091434,1.5422626021473713,0.8895983374765573,0.3537942813412515,0.2965327791588524,0.33013008911281105,0.018113332323003793,0.14052440076394876,11.21419776158872
2024-08-19,4.410596420651423,2.2399180471043563,0.9927274715091434,1.5332059359858696,0.8895983374765573,0.3537942813412515,0.2965327791588524,0.3307143901554886,0.018113332323003793,0.12825407886772042,11.193455074573667
2024-08-20,4.410596420651423,2.2399180471043563,1.0941037024136968,1.5332059359858696,0.8855082301778144,0.3537942813412515,0.28922901612538315,0.2828017046559302,0.019281934408358875,0.09757827412714946,11.206017546991234
2024-08-21,4.410596420651423,2.2399180471043563,1.124487356632929,1.533790237028547,0.8790809187083615,0.35028847508518623,0.28922901612538315,0.30617374636303185,0.02337204170710167,0.11510730540747571,11.272043564813796
2024-08-22,4.410596420651423,2.2399180471043563,1.124487356632929,1.548982064138163,0.8790809187083615,0.35028847508518623,0.28922901612538315,0.3055894453203543,0.02337204170710167,0.11247795071542678,11.284021736188686
2024-08-23,4.410596420651423,2.2399180471043563,1.1203972493341863,1.533790237028547,0.8828788754857655,0.35028847508518623,0.28922901612538315,0.3038365421923217,0.02337204170710167,0.11247795071542678,11.266784855429698
