date,CHONG HING SECURITIES LTD,CITIBANK N.A.,THE BANK OF EAST ASIA LTD,THE HONGKONG AND SHANGHAI BANKING,ICBC (ASIA) SECURITIES LTD,CHINA CITIC BANK INTERNATIONAL LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,DBS BANK (HONG KONG) LTD
2024-08-16,36.26056481106857,14.750089530457558,10.680250111219802,11.621212988222581,8.105834411573595,5.965626296843312,6.307690552262313,2.9032780114211305,3.405453286931141
2024-08-19,36.33081063383264,14.660858347947315,10.686523365692056,11.628038935704357,8.110595532469102,5.969130324507154,6.3113954980786104,2.9049833087296846,3.3976640530390854
2024-08-20,36.38376240266376,14.636026415470162,10.686261832959765,11.627754361134125,8.110397040767214,5.968984241173057,6.2843205896048175,2.904912214680105,3.397580901546987
2024-08-21,36.47131794674059,14.595175568078552,10.676072031699947,11.616666807049263,8.102663435201913,5.963292563008019,6.278328224934924,2.9021422583934724,3.3943411648933206
2024-08-23,36.46568316980513,14.592920630135811,10.674422590773975,11.630321931003964,8.101411582962653,5.962371241123176,6.277358230400405,2.9016938807317474,3.393816743063133
2024-08-26,36.55154805358189,14.452557634993967,10.65384750000863,11.607904331613865,8.234629304986429,5.950878691674289,6.265258539362437,2.896100827387494,3.3872751163909953
2024-08-27,36.70572623971818,14.446538013316271,10.647612538782676,11.601111026808052,8.234687069638081,5.9473960533220005,6.261591916195222,2.8944059395673705,3.2609312026521495
2024-09-03,36.70702281664834,14.445129057231382,10.646574088015976,11.599979582308501,8.233883949025845,5.946816009864471,6.260981229536363,2.8990001000037755,3.2606131673653462
2024-09-04,36.69986421616505,14.442311969385091,10.64449779403832,11.597717355272033,8.239591424501398,5.945656262309489,6.259760213506828,2.910623481960408,3.259977282861383
2024-09-05,36.744435209967904,14.434922338886116,10.639051373429776,11.5917832052503,8.23537551113388,5.942614076062196,6.246811304631742,2.906697715169378,3.2583092654687063
2024-09-10,37.01185061443149,14.268218180257255,10.625588955725568,11.538180525417161,8.224954651116343,5.93509442509532,6.2389067292941,2.903019644878336,3.2541862737844305
2024-09-12,37.01905724323747,14.27099636482357,10.62765787889957,11.520956001761311,8.226556143452788,5.936250055568805,6.24012151548303,2.9035848958628123,3.2548199009106447
2024-09-13,37.01275128958199,14.285599738440077,10.625847527068881,11.518993482453038,8.225154803557935,5.935238854297746,6.239058551701358,2.903090289215546,3.254265463683429
2024-09-19,37.00914885196713,14.293942289827873,10.624813317195594,11.517872343008909,8.224354252233864,5.9346611796597655,6.238451306402783,2.9028077324940695,3.253948727210007
2024-09-20,37.017255322946404,14.297073229931772,10.6271405725767,11.498491248812334,8.226155711903624,5.935961105762284,6.239817774588074,2.9034435624812973,3.2546614709975135
2024-09-24,37.01905724323747,14.297769180675047,10.62765787889957,11.499050970610105,8.226556143452788,5.936250055568805,6.235253730782762,2.9035848958628123,3.2548199009106447
2024-09-25,37.171071388090134,14.26270814546513,10.601596702335419,11.47328088507734,8.206382956226363,5.921693164239598,6.219963621687056,2.896464715715659,3.2468384211632997
2024-09-26,37.1665595090887,14.260976917093657,10.600309865024665,11.484026387698727,8.205386853462702,5.920974380463857,6.219208633407021,2.8961131385928804,3.246444315167792
2024-09-27,37.171071388090134,14.252996449658944,10.601596702335419,11.482992580883526,8.206382956226363,5.921693164239598,6.219963621687056,2.896464715715659,3.2468384211632997
2024-09-30,8.08794859067264,3.098627874478609,2.3067715270377382,2.495910544845807,1.785603723184511,1.288484514800753,1.3533843424318823,0.6307618737893026,0.7064704150820754
2024-10-02,37.17994254917805,14.237745695160175,10.599280620079622,11.495048305313384,8.20459014534298,5.920399479066783,6.2186047747340565,2.898259331874737,3.2461290992502114
2024-10-03,37.18766478285691,14.242924401798044,10.604943941997625,11.46233119826745,8.208973955609341,5.9235628190456895,6.221927449355336,2.902236596885814,3.2454348541837894
2024-10-04,37.17555321430362,14.24003507529207,10.608219329705912,11.465871394134629,8.211509336516484,5.925392339781761,6.223849121435919,2.9031329665533927,3.246437222276217
2024-10-07,37.173746986076104,14.244201847701465,10.607703913967873,11.465314308125828,8.211110368413209,5.92510444599195,6.223546726690046,2.9029919136232003,3.246279489410322
2024-10-08,37.174650078249776,14.24454789372189,10.607961615576185,11.465592844363355,8.211309847618617,5.925248389389836,6.221268538778099,2.9030624383749393,3.2463583539273024
2024-10-09,37.25701555097309,14.2785433833048,10.631464991432003,11.486126889905087,8.253850759202706,5.938376579798296,5.9915761783495,2.9094945664401326,3.253551100594391
2024-10-10,37.25066678958508,14.278544605258508,10.62965334244624,11.48903830140743,8.252444266271711,5.937364653980307,5.990555187082972,2.918736172971816,3.2529966809959365
2024-10-14,37.241030259871344,14.287585745313844,10.625514748074135,11.496732118151815,8.249231224576354,5.935052975212386,5.988222798887016,2.9248999844590813,3.2517301454540224
2024-10-15,37.275473083979065,14.283067408342106,10.622154512343217,11.493096366758293,8.246622469878755,5.9331760612420945,5.986329070376859,2.9093792157892606,3.2507018112903485
2024-10-17,37.27456633095175,14.282719962326256,10.621896120699494,11.49281678881973,8.246421864781864,5.933031732413778,5.986183448562889,2.909308443021184,3.2530553084230496
2024-10-22,37.28726488915363,14.304619556102056,10.625514748074135,11.496732118151815,8.249231224576354,5.935052975212386,5.95902198039294,2.8883989613414864,3.254163546995195
2024-10-24,37.35100066326382,14.301126391457252,10.613892210326032,11.472002915137637,8.24020794395667,5.928561018928207,5.957365285634959,2.885239535491943,3.2506040358034847
2024-10-25,37.346461686711166,14.299388486817094,10.612602386572465,11.458456589777573,8.239206575586815,5.927840567026571,5.980945777550634,2.8848889147758223,3.250209015181856
2024-10-29,37.41599433548331,14.283519082086293,10.600824562459579,11.445740040018741,8.23006273674859,5.921261873033852,5.9743081476055195,2.8816872764795987,3.2466019460845192
2024-10-30,37.46121206726595,14.283172322781585,10.600567207494496,11.40904685041264,8.22986293648817,5.921118123259142,5.974163110032673,2.874334253552585,3.2465231287127625
2024-10-31,8.151871090822144,3.1081370067322545,2.3067715270377382,2.485344842341757,1.7908865744365363,1.288484514800753,1.300027544786428,0.6254790225372774,0.7064704150820754
2024-11-04,37.455756213463836,14.281092120467695,10.599023340072383,11.419521909019057,8.231091673231292,5.92025577116099,5.973293032458573,2.873915635291178,3.246050304834997
2024-11-06,37.45848394170268,14.282132145878917,10.599795217567104,11.420353539602294,8.236546128062901,5.908549358886353,5.973728039563775,2.8741249291788726,3.2462866995570994
2024-11-07,37.46121206726595,14.283172322781585,10.600567207494496,11.421185291321914,8.22986293648817,5.908979682349868,5.974163110032673,2.874334253552585,3.2465231287127625
2024-11-11,37.46575982638368,14.28490628769026,10.601854107290599,11.42257181345181,8.230862034812588,5.909697027431459,5.96032047091991,2.874683195273572,3.2493452367461177
2024-11-14,37.467579239218466,14.285599991540495,10.602368954701266,11.423126516569,8.231261742067877,5.90998401423411,5.955753714481301,2.8748227956854056,3.2495030315020705
2024-11-15,37.467407752016285,14.258825620425478,10.602320428198473,11.440528556277291,8.231224068002051,5.909956964538235,5.95572645529984,2.874809637767867,3.259200517474476
2024-11-18,37.17495156219342,14.147526705915602,10.519562788378964,12.102880122031461,8.1862473910703,5.863826111096074,5.909238342797567,2.8571882521664373,3.2385787243501745
2024-11-19,37.21730215518995,14.137989806854986,10.512471512952521,12.09472152664826,8.180729012015307,5.859873284648526,5.905254903799936,2.855262211203624,3.236395586686892
2024-11-20,37.21640616539113,14.137649441113536,10.512218429932243,12.094430351671035,8.18053206464628,5.859732210836579,5.90752019243847,2.85519347205097,3.2363176719197617
2024-11-22,37.250110535286666,14.103945071217996,10.512218429932243,12.094430351671035,8.18053206464628,5.859732210836579,5.90752019243847,2.85519347205097,3.2363176719197617
2024-11-26,37.24024812267626,14.100210882950421,10.509435194282288,12.117704403376274,8.178366170869463,5.858180776598686,5.905956105760475,2.854437525405464,3.2354608180806683
2024-11-28,37.23576713771003,14.098514255345277,10.508170631786514,12.128278963569041,8.177382097515835,5.857475882799296,5.90524546332775,2.8540940612159593,3.2350715067303004
2024-11-29,37.34036158498904,14.079878263748146,10.494280502936878,12.088213840005011,8.166572900085827,5.849733232094747,5.899843015781265,2.8503214031912267,3.230795257167856
2024-12-03,37.34337329722943,14.07920151963052,10.49377609924346,12.087632824497945,8.166180376793521,5.849452066840306,5.899559442018689,2.8501844035519666,3.230639970194163
2024-12-04,37.4272471877669,14.084177501314002,10.484956876999444,12.077474086663715,8.159317322069795,5.796511812604829,5.894601310134715,2.8477890399141654,3.2279248625324315
2024-12-05,37.47378010818412,14.079106464060406,10.481181746579463,12.073125567127017,8.156379542983988,5.794424766532036,5.868475475449357,2.8467636875774427,3.2267626415061637
2024-12-10,37.48410422592695,14.076781769666594,10.479451129334045,12.071132093507554,8.15503278920769,5.793468010731908,5.867506492646875,2.846293639595214,3.2262298493831687
2024-12-11,37.48560454065552,14.076443941938807,10.479199633699501,12.070842399229864,8.15483707713072,5.7933289736873546,5.8673656787578325,2.846225331587843,3.2261524233125525
2024-12-12,37.58218051931353,14.017882256426518,10.476685341113711,12.043953047182264,8.152880472893939,5.767945796349156,5.8659579115103435,2.867136288257446,3.2253783669530884
2024-12-13,37.58270352175027,14.018077332563045,10.476831137123591,12.02353422401553,8.152993930290366,5.768026064435381,5.8660395435561465,2.886370994190908,3.2254232520747603
