date,GRANSING SECURITIES CO LTD,ASTRUM CAPITAL MANAGEMENT LTD,BLACK MARBLE SECURITIES LTD,SORRENTO SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,SUNCORP SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,LUK FOOK SECURITIES (HK) LTD,KGI ASIA LTD,TOTAL_CCASS_PCT
2025-03-05,1.4102201422013294,0.916994488874857,0.7152968754558864,0.0,0.670352172629521,0.16233939072271955,0.5496021469303997,0.34512037300038034,0.08111754483109396,4.851043134646187
2025-03-06,1.4102201422013294,0.916994488874857,0.7152968754558864,0.0,0.6698463478936739,0.16233939072271955,0.5578976725982896,0.34512037300038034,0.08111754483109396,4.85883283557823
2025-03-07,1.4102201422013294,0.916994488874857,0.7152968754558864,0.0,0.6698463478936739,0.16233939072271955,0.5594151468058305,0.34512037300038034,0.08111754483109396,4.860350309785772
2025-03-10,1.4102201422013294,0.916994488874857,0.7152968754558864,0.0,0.6718696468370617,0.16233939072271955,0.554862724183208,0.34512037300038034,0.08111754483109396,4.857821186106536
2025-03-11,1.4102201422013294,0.916994488874857,0.7152968754558864,0.0,0.6722136076574378,0.16233939072271955,0.554356899447361,0.34512037300038034,0.08111754483109396,4.857659322191065
2025-03-12,1.4102201422013294,0.916994488874857,0.7152968754558864,0.0,0.6722136076574378,0.16233939072271955,0.5556214612869784,0.34512037300038034,0.08111754483109396,4.858923884030682
2025-03-13,1.4102201422013294,0.916994488874857,0.7152968754558864,0.0,0.6719606952895142,0.16233939072271955,0.55865640970206,0.34512037300038034,0.08111754483109396,4.861705920077841
2025-03-14,1.4102201422013294,0.916994488874857,0.7152968754558864,0.0,0.6744898189687489,0.16233939072271955,0.55865640970206,0.34512037300038034,0.08111754483109396,4.864235043757076
2025-03-17,1.4102201422013294,0.916994488874857,0.7152968754558864,0.0,0.6699373963461264,0.16233939072271955,0.5609326210133713,0.34512037300038034,0.08111754483109396,4.861958832445764
2025-03-18,1.4102201422013294,0.916994488874857,0.7152968754558864,0.0,0.6666495355631212,0.16233939072271955,0.5621971828529887,0.34512037300038034,0.08111754483109396,4.859935533502377
2025-03-21,1.4102201422013294,0.916994488874857,0.7152968754558864,0.0,0.6623500253084222,0.16233939072271955,0.5619442704850652,0.34512037300038034,0.08111754483109396,4.855383110879754
2025-03-24,1.4102201422013294,0.916994488874857,0.7152968754558864,0.0,0.6595679892612639,0.16233939072271955,0.5616913581171418,0.34512037300038034,0.08111754483109396,4.852348162464672
2025-03-25,1.4102201422013294,0.916994488874857,0.7152968754558864,0.0,0.6542568295348711,0.16233939072271955,0.5616913581171418,0.34512037300038034,0.08111754483109396,4.847037002738279
2025-03-27,1.4102201422013294,0.916994488874857,0.7152968754558864,0.0,0.6502102316480954,0.16233939072271955,0.5616913581171418,0.34512037300038034,0.08111754483109396,4.842990404851504
2025-03-28,1.4102201422013294,0.916994488874857,0.7152968754558864,0.0,0.6454048966575494,0.16233939072271955,0.5619442704850652,0.34512037300038034,0.08111754483109396,4.838437982228881
2025-03-31,1.4102201422013294,0.916994488874857,0.7152968754558864,0.0,0.6418641235066208,0.16233939072271955,0.5568852138070184,0.34512037300038034,0.08111754483109396,4.829838152399906
2025-04-02,1.4102201422013294,0.916994488874857,0.7152968754558864,0.0,0.6325063658934522,0.16233939072271955,0.5571381261749419,0.34512037300038034,0.08111754483109396,4.8207333071546605
2025-04-03,1.4102201422013294,0.916994488874857,0.7152968754558864,0.0,0.6320005411576053,0.16233939072271955,0.5649784095805696,0.34512037300038034,0.08111754483109396,4.828067765824442
2025-04-09,1.4102201422013294,0.916994488874857,0.7152968754558864,0.0,0.6393349998273861,0.16233939072271955,0.5637138477409522,0.34512037300038034,0.08111754483109396,4.834137662654605
2025-04-10,1.4102201422013294,0.916994488874857,0.7152968754558864,0.0,0.6393349998273861,0.16233939072271955,0.5639667601088757,0.34512037300038034,0.08111754483109396,4.834390575022528
2025-04-11,1.2458271030510712,0.916994488874857,0.7152968754558864,0.6931316355310732,0.6279539432708297,0.16233939072271955,0.5639667601088757,0.34512037300038034,0.08111754483109396,5.351748114846787
2025-04-14,1.2458271030510712,0.916994488874857,0.7152968754558864,0.6931316355310732,0.6236544330161307,0.16233939072271955,0.5632080230051052,0.34512037300038034,0.0836466685103287,5.349218991167552
2025-04-16,1.1307519756458906,0.916994488874857,0.7152968754558864,0.6931316355310732,0.620619484601049,0.16233939072271955,0.5632080230051052,0.34512037300038034,0.2068149916890606,5.354277238526022
2025-04-17,1.0106186008822402,0.916994488874857,0.7152968754558864,0.6931316355310732,0.6206032982095019,0.16233939072271955,0.5632080230051052,0.34512037300038034,0.32568380461309343,5.352996490294857
2025-04-22,1.0106186008822402,0.916994488874857,0.7152968754558864,0.6931316355310732,0.6206032982095019,0.6149007818849841,0.5632080230051052,0.34512037300038034,0.32062555725462394,5.800499634098653
2025-04-25,1.0106186008822402,0.916994488874857,0.7152968754558864,0.6931316355310732,0.6206032982095019,0.6149007818849841,0.5642196724767992,0.34512037300038034,0.32062555725462394,5.801511283570346
