date,GET NICE SECURITIES LTD,CHONG HING BANK LTD,CITIBANK N.A.,DBS BANK (HONG KONG) LTD,PLANETREE SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,IMAGI BROKERAGE LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,HANG SENG SECURITIES LTD
2025-02-19,47.01976231601076,15.028434336828687,11.720652961034395,7.413858808536775,6.89739795041581,6.185494917385141,2.4109408256519678,1.2397369310902735,1.0775399398692957,1.0061810131769018
2025-02-20,47.0223828275912,15.028158096475822,11.720437521605563,7.413722533065395,6.897271168104295,6.185381220691239,2.409249837406764,1.239714143262904,1.0775201334139763,1.0061625183828404
2025-02-21,47.02369027436755,15.027879886111235,11.720220545767601,7.413585285743691,6.8971434816430515,6.185266713167864,2.408878542873593,1.2396911929238428,1.0775001857086592,1.006143891692911
2025-02-24,47.02403641194044,15.027781696677195,11.720143967978123,7.4135368467257505,6.897098416961933,6.185226299760081,2.4088628036992987,1.239683093007052,1.0774931455184118,1.006137317731711
2025-02-25,47.028854317273655,15.027372587846171,11.71982490462633,7.413335024297509,6.896910653795834,6.184949022241063,2.4055304058924047,1.2396493444930494,1.0774638123826172,1.0061099271513703
2025-02-26,47.03507037108571,15.025670934152474,11.718280024165548,7.4124955609213945,6.8961296687353695,6.1842486575374185,2.4052580109892663,1.239508970394143,1.0773418036771403,1.0059959983415405
2025-02-27,47.036376951166936,15.025670934152474,11.718062260818675,7.4124955609213945,6.8961296687353695,6.1842486575374185,2.4052580109892663,1.239508970394143,1.0773418036771403,1.0049071816071815
2025-02-28,11.13003875120845,3.5545621849002327,2.772043066947674,1.7535440867871104,1.6313894966872546,1.461952377980826,0.569002156925849,0.2932256225572772,0.2548623919920136,0.23643894164149373
2025-03-03,47.05424654459197,15.02504927219935,11.71714193695658,7.41218888134029,6.895844352927667,6.1752826211223715,2.4040697257836836,1.2394576877878074,1.0772972304655486,0.9994217468247276
2025-03-04,47.05938298148131,15.02495111975114,11.71684764078751,7.412140460568276,6.895799305221437,6.170669469338303,2.4040540209879797,1.2394495909220795,1.0772901929271879,0.9994152180147736
2025-03-05,47.06585096797522,15.024200639446311,11.716262396727878,7.411770232047201,6.895454867391098,6.168170657195062,2.403933941050273,1.239387681735194,1.077236383429511,0.9977322330022496
2025-03-06,47.0860106382721,15.023824437858432,11.715751288359627,7.4115846434893,6.895282207218853,6.150488412829133,2.4027850643175097,1.2393566478302926,1.077209409745673,0.9977072500790751
2025-03-07,47.10041128089947,15.02310480035717,11.714863517515091,7.411229630404896,6.89495192489436,6.141375896605158,2.3999483945463798,1.2392972829512032,1.07715781167947,0.9976594601467974
2025-03-10,47.10854714908751,15.022123587587691,11.71377180992592,7.410745576459488,6.894501590894595,6.140974781354216,2.3987030856426994,1.2392163400079586,1.0770874586456858,0.9943286203942407
2025-03-11,47.11363094549554,15.022009121113571,11.71368255262818,7.410689107617929,6.894449055759777,6.138424319801114,2.398684807861727,1.239206897353311,1.0770792513903673,0.9921439409784827
2025-03-12,47.115454267095096,15.021583975196274,11.713024481257763,7.410479373740585,6.894253932268342,6.138250592970224,2.398616921399622,1.2391718258959012,1.0770487683942085,0.9921158617819864
2025-03-13,47.117175992136666,15.021404113013926,11.712884234387088,7.410390643750818,6.894171383346739,6.138177096117344,2.3985882013608557,1.2391569885692069,1.0759473647169762,0.992103982600381
