date,KGI ASIA LTD,UBS SECURITIES HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,ICBC (ASIA) SECURITIES LTD,CMB WING LUNG BANK LTD,FUTU SECURITIES INTERNATIONAL
2024-09-09,27.64569313648994,24.652618871628192,11.777327301618303,6.969395677076975,9.182088222188746,7.365071493362256,3.6551749518183616,3.909434952889726,2.404696028352034,2.438499364575461
2024-09-10,27.64601069077625,24.652618871628192,11.777327301618303,6.969395677076975,9.182088222188746,7.365071493362256,3.6551749518183616,3.909434952889726,2.404696028352034,2.4381818102891506
2024-09-11,27.64609848214698,24.652697157324706,11.777364701144727,6.969417808761959,9.182117380396061,7.365094881536743,3.6551865590199526,3.9094473675074126,2.4047036645915942,2.4378719975698635
2024-09-12,27.648881818796767,24.653480041636758,11.774563055681657,6.969639133342867,9.182408972654816,7.363423379176552,3.65530263509051,3.909571518020976,2.4047800296546997,2.4379494159443933
2024-09-13,27.64595100731763,24.650583618021326,11.773497244667636,7.0069236709863425,9.181330173793558,7.335568398599286,3.654873190449999,3.9091122005026424,2.4044975031450124,2.4376629925165587
2024-09-16,27.64595100731763,24.650583618021326,11.773497244667636,7.006606142916456,9.181330173793558,7.3352508705294,3.654873190449999,3.9091122005026424,2.4048150312148984,2.437980520586445
2024-09-17,27.64695775904312,24.650348802691006,11.773385093260297,7.006539399728491,9.181242714725208,7.335180996753475,3.65483837503675,3.9090749632717983,2.4047921235448544,2.437639771945003
2024-09-19,27.647011925526975,24.65011399183423,11.77327294398959,7.006472657812073,9.181155257323068,7.335111124308738,3.6548035602867803,3.909037726750373,2.404769216311232,2.4382515958569435
2024-09-20,27.64715387594431,24.649957453748282,11.773198178996104,7.006428163907522,9.181096953313958,7.335064543418443,3.654780350821947,3.909330422801033,2.4047539450646003,2.438236111983806
2024-09-23,27.64180001302659,24.6451839970038,11.770918302758709,7.00507137123003,9.179001578172,7.3336441104062695,3.6477234333911888,3.92920818573007,2.404288265196413,2.4431607430849276
2024-09-24,27.62828438596607,24.63454818891649,11.765838477503811,7.0020482818202945,9.175040313397897,7.330479223045379,3.636629586410087,3.9817744864724833,2.403250677139521,2.442106379327973
2024-09-25,27.56863800158973,24.589837660504138,11.744484042605741,7.178120271196183,9.160605272571825,7.317174753360581,3.630029277396847,3.974547755949815,2.3988888919402047,2.437674072884941
2024-09-26,27.55761204214232,24.585087457480803,11.742215272702625,7.1767336199671306,9.1556688058392,7.315761239936233,3.6603631090069486,3.9737799628058603,2.40475916868406,2.4280193214348182
2024-09-27,27.43917336321732,24.47942426448474,11.69174890927371,7.55580938523783,9.116003726201125,7.284319143456186,3.644631391383753,3.9768819180344286,2.394423857386544,2.4175840413243597
2024-09-30,27.439259885607836,24.479501454066135,11.691785776203027,7.55583321054341,9.115717146845663,7.284342112686971,3.644642883793394,3.9768944581108285,2.394431407587612,2.4175916645551236
2024-10-02,27.478887977239065,24.470704976107523,11.704290627565513,7.538303174987947,8.795023998071262,7.280778919980299,3.776037057115863,3.932596699248213,2.3305287863205804,2.692847783363734
2024-10-03,27.446900165266257,24.489694753676577,11.69917789769431,7.586739566234685,8.895854899392097,7.371286522116671,3.788431009696485,3.94479668974232,2.4244503706851344,2.3526681254954567
2024-10-04,27.309304182138355,24.375048091748464,11.625570346119016,7.94746412891291,8.857977370771666,7.409621493249076,3.8256420544933722,3.9357487866750342,2.4266015795202294,2.2870219663718787
2024-10-07,27.296192239047645,24.364185320418265,11.534083690617246,8.120927486803254,8.827039654022458,7.3815261106440335,3.8550072061027034,3.924579647356583,2.41516347679891,2.2812951681889024
2024-10-08,27.255731659874094,24.328909961728947,11.506102378899854,8.167459235495217,8.81049892865264,7.475822688242863,3.8729296262077377,3.9188974973915984,2.385029028825665,2.2786189946813846
