date,CINDA INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HAITONG INTERNATIONAL SECURITIES CO LTD,BOCI SECURITIES LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,ORIENT SECURITIES (HONG KONG) LTD,CHINA SYSTEM SECURITIES LTD
2025-01-08,73.30751987812826,5.738603692740138,4.2709440482610175,5.268103821034726,3.733885382517794,2.512363275575271,1.4765612043419896,1.851767828746773,0.6203947370708434,1.2198561315831957
2025-01-10,73.30751987812826,5.7357063442891345,4.2709440482610175,5.268103821034726,3.733885382517794,2.512363275575271,1.4794585527929918,1.851767828746773,0.6203947370708434,1.2198561315831957
2025-01-13,73.30088305937859,5.735187068183879,4.27055738286045,5.298408419094567,3.7335473391552987,2.5121358214243052,1.4575964655085527,1.8516001809056473,0.6203385702897268,1.2197456931989832
2025-01-14,73.30858188065903,5.790115507656412,4.311569387169474,5.2989649130655385,3.7339394751365655,2.512399672061762,1.3523569807522877,1.8517946552186522,0.6204037246996971,1.2198738035805718
2025-01-15,73.30327217568642,5.789696132403006,4.311257102293304,5.2985811116111,3.7336690277143134,2.512217700174028,1.359501981613565,1.851660530631369,0.6203587891593065,1.2197854487135882
2025-01-16,73.30035216579232,5.789465501907413,4.311085364893034,5.298370044508481,3.7335202983305,2.5121176268713916,1.3634312909284692,1.8515867703897113,0.6203340773865784,1.2197368589921036
2025-01-17,73.2984940987989,5.789318746613055,4.310976084580107,5.298235737834532,3.733425658528225,2.5120539480116295,1.3659315975061073,1.85153983511366,0.6203183527380598,1.2197059402757344
2025-01-21,73.30035216579232,5.789465501907413,4.308912566023029,5.298370044508481,3.7335202983305,2.5121176268713916,1.3656040897984747,1.8515867703897113,0.6203340773865784,1.2197368589921036
2025-01-24,73.32531248024796,5.78238052542894,4.310379841546706,5.300174251152867,3.734791640662691,2.5129730558572505,1.3475940273589408,1.8456966584391947,0.6205453142112541,1.2201522050941893
2025-01-27,73.32531248024796,5.783467294805842,4.3100175850877385,5.300174251152867,3.734791640662691,2.5129730558572505,1.3468695144410059,1.8456966584391947,0.6205453142112541,1.2201522050941893
2025-02-04,73.32478123273589,5.783425393141769,4.309986358679809,5.300135850983958,3.7347645818108406,2.5129548491747467,1.3475842639368687,1.8456832862253618,0.6205408183128645,1.2201433649978928
2025-02-06,73.33514194791874,5.693666330003181,4.292480104237184,5.319000005680943,3.8077533042507707,2.513309927076405,1.3528469464758968,1.8459440793504804,0.619541585022438,1.2203157699839622
2025-02-07,73.33195372371925,5.6992154278074,4.292293489899491,5.318768763685839,3.8075877632712647,2.513200661650342,1.3513389747665814,1.8458638274626626,0.6195146506302558,1.2202627171069167
2025-02-10,73.35028979952016,5.666576765055891,4.293366743983067,5.320098679803797,3.817599316940061,2.513829067624749,1.3516768664033894,1.84632537113278,0.6196695553752805,1.2205678341608301
